rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,273789414.56,170907935.50,444697350.06,102881479.06,23443170.60
2,49,Online Securities Limited,85062413.10,204331222.20,289393635.30,-119268809.1,7056248.60
3,44,Dynamic Money Managers Securities Pvt.Ltd,130367212.30,109591891.95,239959104.25,20775320.349999994,86654689.00
4,45,Imperial Securities Co .Pvt.Limited,100495116.50,137429214.90,237924331.40,-36934098.400000006,7288000.80
5,34,Vision Securities Pvt.Limited,112785629.70,107407980.60,220193610.30,5377649.100000009,21514531.40
6,42,Sani Securities Company Limited,107134867.50,87577636.70,194712504.20,19557230.799999997,5286431.80
7,48,Trishakti Securities Public Limited,108403567.30,83979393.10,192382960.40,24424174.200000003,6508704.00
8,17,ABC Securities Pvt. Limited,72760332.00,82750748.70,155511080.70,-9990416.700000003,3627745.60
9,65,Sharepro Securities Private Limited,87704611.40,62961630.20,150666241.60,24742981.200000003,11642736.00
10,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,65653832.60,81262658.40,146916491.00,-15608825.800000004,2343757.00
11,57,Arya Tara Investment And Securities Pvt. Ltd.,69486575.20,72571846.60,142058421.80,-3085271.399999991,5846098.40
12,62,Capital Max Securities Limited,53009182.70,85887854.40,138897037.10,-32878671.700000003,30454911.00
13,39,Sumeru Securities Pvt.Limited,60482129.10,75300826.50,135782955.60,-14818697.399999999,620608.00
14,56,Sri Hari Securities Pvt.Ltd,51890865.10,77015385.18,128906250.28,-25124520.080000006,13531190.40
15,77,Nabil Stock Dealer Limited,46110584.80,71849628.10,117960212.90,-25739043.299999997,2766000.00
