rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,1913,538.90
2,MEHL,Manakamana Engineering Hydropower Limited,1406,259.00
3,SOHL,Solu Hydropower Limited,1207,682.10
4,KAHL,Kalanga Hydro Limited,1050,550.00
5,SAHAS,Sahas Urja Limited,897,701.00
6,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,779,562.00
7,BHCL,Bikash Hydropower Company Limited,772,568.00
8,PRVU,Prabhu Bank Limited,745,182.00
9,KKHC,Khani Khola Hydropower Company Limited,654,296.50
10,SOPL,Sopan Pharmaceuticals Limited,580,780.00
11,ECL,Everest Colour Limited,580,1436.00
12,RSML,Reliance Spinning Mills Limited,554,2710.00
13,GHL,Ghalemdi Hydro Limited,549,239.00
14,LEC,Liberty Energy Company Limited,523,220.90
15,YMHL,Yambaling Hydropower Limited,518,634.70
