label,value
Total Turnovers (Rs.),"3,298,019,571.29"
Total Traded Shares,"9,508,882"
Total Transaction,"42,709"
Total Scrips Traded,346
Total Market Cap (Rs.),"4,510,571.99 Millions"
Floated Market Cap (Rs.),"1,521,651.74 Millions"
