rank,symbol,company_name,volume,ltp
1,NMBHF2,NMB Hybrid Fund L-II,616880.00,9.89
2,MEHL,Manakamana Engineering Hydropower Limited,489292.00,259.00
3,NMB50,NMB 50,344051.00,9.81
4,KKHC,Khani Khola Hydropower Company Limited,309415.00,296.50
5,RSY,Reliable Samriddhi Yojana,254400.00,10.52
6,SAHAS,Sahas Urja Limited,253936.00,701.00
7,SOHL,Solu Hydropower Limited,247607.00,682.10
8,LEC,Liberty Energy Company Limited,239048.00,220.90
9,RIDI,Ridi Power Company Limited,234646.00,361.30
10,GHL,Ghalemdi Hydro Limited,218759.00,239.00
11,PRVU,Prabhu Bank Limited,213491.00,182.00
12,SIGS3,Siddhartha Investment Growth Scheme 3,207987.00,11.00
13,KEF,Kumari Equity Fund,177470.00,11.00
14,NHPC,National Hydro Power Company Limited,169326.00,263.00
15,NBL,Nepal Bank Limited,163307.00,275.00
