rank,symbol,company_name,turnover,ltp
1,SAHAS,Sahas Urja Limited,175282160.30,701.00
2,SOHL,Solu Hydropower Limited,168847679.00,682.10
3,RSML,Reliance Spinning Mills Limited,155532538.20,2710.00
4,MEHL,Manakamana Engineering Hydropower Limited,122549643.40,259.00
5,KKHC,Khani Khola Hydropower Company Limited,89664335.10,296.50
6,RIDI,Ridi Power Company Limited,84642183.60,361.30
7,BHCL,Bikash Hydropower Company Limited,68670781.70,568.00
8,UMHL,United Modi Hydropower Limited,60583291.40,598.80
9,AKJCL,Ankhukhola Hydropower Company Limited,56870705.60,351.80
10,MEN,Mountain Energy Nepal Limited,56660317.00,626.90
11,NGPL,Ngadi Group Power Limited,53129553.90,407.00
12,LEC,Liberty Energy Company Limited,52555550.50,220.90
13,NABIL,Nabil Bank Limited,52534433.50,548.00
14,GHL,Ghalemdi Hydro Limited,50989575.90,239.00
15,SHIVM,Shivam Cements Limited,44749217.50,627.40
