Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,622.92","2,627.11","2,609.84","2,622.22",-0.26,0.00,"3,298,019,571.28"
Sensitive Index,462.28,462.30,458.49,461.00,-0.08,-0.01,"878,189,826.90"
Float Index,180.01,180.32,179.16,179.95,-0.02,-0.01,"3,260,119,720.00"
Sensitive Float Index,156.14,156.17,155.01,155.75,0.00,0.00,"878,189,826.90"
Banking SubIndex,"1,448.13","1,449.27","1,434.59","1,443.96",0.91,0.06,"377,965,487.60"
Development Bank Index,"5,525.48","5,543.21","5,502.67","5,532.51",-1.40,-0.02,"132,917,324.80"
Finance Index,"2,332.67","2,338.91","2,321.55","2,333.44",-5.18,-0.22,"83,069,968.30"
Hotels And Tourism,"7,254.24","7,278.69","7,201.87","7,226.25",-27.99,-0.38,"56,382,477.10"
HydroPower Index,"3,712.06","3,723.04","3,686.17","3,713.91",3.50,0.09,"1,843,148,138.40"
Investment,96.56,96.60,95.30,95.65,-0.27,-0.28,"97,295,959.10"
Life Insurance,"11,593.13","11,669.01","11,583.35","11,633.71",-36.96,-0.31,"72,389,882.10"
Manufacturing And Processing,"10,291.96","10,340.79","10,258.70","10,326.02",-4.71,-0.04,"359,421,531.10"
Microfinance Index,"4,513.25","4,533.49","4,505.60","4,514.10",-14.96,-0.33,"150,635,720.30"
Mutual Fund,20.87,20.87,20.61,20.84,-0.03,-0.15,"20,782,522.59"
Non Life Insurance,"10,459.52","10,474.98","10,404.05","10,474.98",15.45,0.14,"29,530,876.50"
Others Index,"1,920.03","1,922.43","1,896.45","1,922.43",2.40,0.12,"56,162,996.20"
Trading Index,"3,257.86","3,307.33","3,253.43","3,282.72",24.86,0.76,"1,199,358.50"
