rank,symbol,company_name,close,change,change_percent
1,MEHL,Manakamana Engineering Hydropower Limited,259.00,-23.90,-8.45
2,HEIP,Himalayan Everest Insurance Limited Promoter,320.50,-19.50,-5.74
3,ICFCD83,12% ICFC Finance Limited Debenture 2083,983.30,-51.70,-5.00
4,SBCF,Sunrise Bluechip Fund,9.63,-0.37,-3.70
5,RLEL,Ridge Line Energy Limited,888.90,-31.10,-3.38
6,GRDBL,Green Development Bank Limited,1014.00,-32.10,-3.07
7,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,1085.00,-31.00,-2.78
8,KSY,Kumari Sabal Yojana,9.17,-0.26,-2.76
9,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,1075.00,-30.00,-2.71
10,SKHL,Super Khudi Hydropower Limited,808.00,-22.00,-2.65
11,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,443.00,-12.00,-2.64
12,MMF1,Mega Mutual Fund - 1,8.67,-0.23,-2.58
13,HATHY,Hathway Investment Nepal Limited,603.20,-15.70,-2.54
14,NICSF,NIC Asia Select-30,8.30,-0.21,-2.47
15,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,5100.00,-125.00,-2.39
