rank,symbol,company_name,close,change,change_percent
1,MEPDL,Mount Everest Power Development Limited,693.60,90.40,14.99
2,SAPIL,Sarvottam Paints Industries Limited,603.20,78.60,14.98
3,RMF1,RBB Mutual Fund 1,10.00,0.30,3.09
4,LBLD88,8.5% Laxmi Bank Debenture,1122.70,32.70,3.00
5,NCCD86,9.5%  NCC Rinpatra 2086,1096.90,31.90,3.00
6,BGWT,Bhagawati Hydropower Development Company Limited,515.00,15.00,3.00
7,NICBF,NIC ASIA Balanced Fund,9.48,0.27,2.93
8,BHCL,Bikash Hydropower Company Limited,568.00,16.00,2.90
9,NIBLGF,NIBL Growth Fund,8.89,0.25,2.89
10,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,1742.00,41.00,2.41
11,SAHAS,Sahas Urja Limited,701.00,16.40,2.40
12,TVCL,Trishuli Jal Vidhyut Company Limited,472.00,10.90,2.36
13,LVF2,Laxmi Value Fund-II,9.86,0.21,2.18
14,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,140.00,2.90,2.12
15,PBLD87,8.5% Prabhu Bank Debenture 2087,1102.20,22.20,2.06
