label,value
Total Turnovers (Rs.),"4,070,853,610.94"
Total Traded Shares,"10,761,396"
Total Transaction,"52,272"
Total Scrips Traded,343
Total Market Cap (Rs.),"4,576,856.44 Millions"
Floated Market Cap (Rs.),"1,549,071.07 Millions"
