rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,403103654.65,321308771.73,724412426.38,81794882.91999996,51857928.40
2,49,Online Securities Limited,127170198.05,207605864.30,334776062.35,-80435666.25000001,13097492.40
3,34,Vision Securities Pvt.Limited,110774757.45,198417692.77,309192450.22,-87642935.32000001,15574409.60
4,42,Sani Securities Company Limited,139288235.50,139573918.80,278862154.30,-285683.3000000119,11420960.40
5,17,ABC Securities Pvt. Limited,93284988.30,169911994.28,263196982.58,-76627005.98,3871596.20
6,32,Premier Securites Company Limited,139540118.70,87673625.70,227213744.40,51866492.999999985,22065591.00
7,48,Trishakti Securities Public Limited,108168703.40,107469679.50,215638382.90,699023.900000006,13189637.60
8,45,Imperial Securities Co .Pvt.Limited,93375476.50,118028100.20,211403576.70,-24652623.700000003,3989411.20
9,28,Shree Krishna Securities Limited,85103340.10,121256024.25,206359364.35,-36152684.150000006,188732.20
10,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,91224357.89,108113001.59,199337359.48,-16888643.700000003,6461189.98
11,33,Dakshinkali Investment Securities Pvt.Limited,82366798.30,97730361.80,180097160.10,-15363563.5,699176.20
12,57,Arya Tara Investment And Securities Pvt. Ltd.,89442737.40,87386149.35,176828886.75,2056588.050000012,2032887.40
13,44,Dynamic Money Managers Securities Pvt.Ltd,78269664.00,93944380.60,172214044.60,-15674716.599999994,2908486.20
14,14,Nepal Stock House Pvt. Limited,82843692.55,86710648.50,169554341.05,-3866955.950000003,3968609.00
15,56,Sri Hari Securities Pvt.Ltd,110347134.10,57479142.60,167826276.70,52867991.49999999,8682834.00
