rank,symbol,company_name,transactions,ltp
1,KKHC,Khani Khola Hydropower Company Limited,3170,315.90
2,SGHL,Sanigad Hydro Limited,2304,513.40
3,KAHL,Kalanga Hydro Limited,1612,526.00
4,ECL,Everest Colour Limited,1562,1731.40
5,NHPC,National Hydro Power Company Limited,1152,279.00
6,RSML,Reliance Spinning Mills Limited,1045,2705.00
7,SOHL,Solu Hydropower Limited,1040,585.00
8,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1017,548.00
9,SOPL,Sopan Pharmaceuticals Limited,1014,808.00
10,JOSHI,Joshi Hydropower Development Company Limited,952,300.00
11,YMHL,Yambaling Hydropower Limited,806,617.00
12,CORBL,Corporate Development Bank Limited,748,1070.50
13,GBIME,Global IME Bank Limited,742,257.80
14,RIDI,Ridi Power Company Limited,719,363.00
15,PCIL,Palpa Cements Industries Limited,709,638.10
