Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,685.75","2,687.17","2,659.80","2,663.18",-21.15,-0.78,"4,070,853,610.94"
Sensitive Index,471.17,471.78,467.18,467.96,-2.66,-0.56,"1,280,554,672.20"
Float Index,184.98,185.04,183.02,183.33,-1.40,-0.75,"3,971,563,599.87"
Sensitive Float Index,160.01,160.21,158.26,158.57,-1.08,-0.68,"1,280,554,672.20"
Banking SubIndex,"1,498.08","1,501.58","1,479.45","1,483.14",-12.09,-0.80,"571,618,917.00"
Development Bank Index,"5,681.96","5,681.96","5,633.10","5,660.79",-28.68,-0.50,"292,447,458.70"
Finance Index,"2,428.65","2,433.89","2,411.01","2,426.00",-3.40,-0.14,"282,044,082.20"
Hotels And Tourism,"7,406.83","7,406.83","7,276.82","7,325.17",-45.41,-0.61,"85,686,024.00"
HydroPower Index,"3,712.57","3,712.57","3,682.26","3,695.61",-20.66,-0.55,"1,862,782,062.19"
Investment,98.00,98.72,97.36,97.62,-0.71,-0.72,"111,602,491.30"
Life Insurance,"12,053.76","12,062.99","11,935.34","11,955.01",-98.93,-0.82,"93,423,292.60"
Manufacturing And Processing,"10,652.59","10,707.04","10,440.82","10,458.58",-139.84,-1.31,"421,745,448.00"
Microfinance Index,"4,617.07","4,626.49","4,575.32","4,590.92",-33.65,-0.72,"106,424,049.18"
Mutual Fund,21.21,21.33,21.09,21.12,-0.09,-0.44,"5,667,369.07"
Non Life Insurance,"10,782.80","10,793.33","10,662.83","10,723.60",-59.20,-0.54,"45,960,386.70"
Others Index,"1,951.34","1,963.79","1,929.75","1,929.75",-20.34,-1.04,"95,962,505.00"
Trading Index,"3,348.08","3,386.65","3,298.79","3,308.16",-39.91,-1.19,"1,866,883.00"
