rank,symbol,company_name,turnover,ltp
1,KKHC,Khani Khola Hydropower Company Limited,406693643.40,315.90
2,SBL,Siddhartha Bank Limited,167771018.90,417.90
3,NHPC,National Hydro Power Company Limited,165700506.50,279.00
4,CFCL,Central Finance Limited,149158589.80,676.00
5,RIDI,Ridi Power Company Limited,131797675.10,363.00
6,RSML,Reliance Spinning Mills Limited,122461606.30,2705.00
7,SHIVM,Shivam Cements Limited,77082634.40,648.00
8,CZBILP,Citizens Bank International Limited Promoter Share,72204200.00,100.00
9,LEC,Liberty Energy Company Limited,69046541.00,228.00
10,JOSHI,Joshi Hydropower Development Company Limited,66887530.50,300.00
11,AKJCL,Ankhukhola Hydropower Company Limited,66581119.80,361.00
12,GBIME,Global IME Bank Limited,63643754.60,257.80
13,SOHL,Solu Hydropower Limited,62951934.30,585.00
14,NRN,NRN Infrastructure and Development Limited,61876215.90,1396.00
15,SAIL,Shreenagar Agritech Industries Limited,60232609.00,1101.00
