rank,symbol,company_name,volume,ltp
1,KKHC,Khani Khola Hydropower Company Limited,1321921.00,315.90
2,CZBILP,Citizens Bank International Limited Promoter Share,722042.00,100.00
3,NHPC,National Hydro Power Company Limited,594849.00,279.00
4,SBL,Siddhartha Bank Limited,402168.00,417.90
5,RIDI,Ridi Power Company Limited,363171.00,363.00
6,LEC,Liberty Energy Company Limited,304860.00,228.00
7,KBL,Kumari Bank Limited,248870.00,221.80
8,GBIME,Global IME Bank Limited,246287.00,257.80
9,JOSHI,Joshi Hydropower Development Company Limited,224868.00,300.00
10,CFCL,Central Finance Limited,222498.00,676.00
11,AKJCL,Ankhukhola Hydropower Company Limited,183762.00,361.00
12,MBLEF,MBL Equity Fund,155270.00,10.25
13,CITY,City Hotel Limited,124938.00,367.10
14,SHIVM,Shivam Cements Limited,116651.00,648.00
15,LSL,Laxmi Sunrise Bank Limited,115489.00,225.50
