rank,symbol,company_name,close,change,change_percent
1,HEIP,Himalayan Everest Insurance Limited Promoter,304.00,-16.00,-5.00
2,HATHY,Hathway Investment Nepal Limited,588.00,-18.00,-2.97
3,SLCF,Sanima Large Cap Fund,9.20,-0.28,-2.95
4,LVF2,Laxmi Value Fund-II,9.06,-0.27,-2.89
5,PBD84,10.15% Prime Debenture 2084,1039.20,-30.80,-2.88
6,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,1458.00,-42.00,-2.80
7,EBLD86,8.5% Everest Bank Debenture,1059.60,-30.40,-2.79
8,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,1320.20,-37.80,-2.78
9,ULHC,Upper Lohore Khola Hydropower Company Limited,318.00,-9.00,-2.75
10,NMIC,Nepal Micro Insurance Company Limited,836.60,-23.30,-2.71
11,NBF2,Nabil Balanced Fund - 2,9.30,-0.25,-2.62
12,GSY,Garima Samriddhi Yojana,8.91,-0.24,-2.62
13,SANIMA,Sanima Bank Limited,364.30,-8.80,-2.36
14,RSML,Reliance Spinning Mills Limited,2745.00,-65.00,-2.31
15,NYADI,Nyadi Hydropower  Limited,361.00,-7.90,-2.14
