rank,symbol,company_name,volume,ltp
1,SBL,Siddhartha Bank Limited,756922.00,447.00
2,LEC,Liberty Energy Company Limited,542654.00,252.10
3,SHIVM,Shivam Cements Limited,396612.00,685.50
4,GHL,Ghalemdi Hydro Limited,386800.00,246.60
5,PHCL,Peoples Hydropower Company Limited,384411.00,323.00
6,LSL,Laxmi Sunrise Bank Limited,373392.00,238.50
7,SOHL,Solu Hydropower Limited,356147.00,671.00
8,API,Api Power Company Limited,350329.00,335.60
9,HURJA,Himalaya Urja Bikas Company Limited,346261.00,266.90
10,GBIMEP,Global IME Bank Limited Promoter Share,337767.00,100.00
11,AKJCL,Ankhukhola Hydropower Company Limited,331657.00,352.90
12,HDHPC,Himal Dolakha Hydropower Company Limited,267565.00,224.20
13,GBIME,Global IME Bank Limited,254365.00,258.20
14,KBL,Kumari Bank Limited,243348.00,218.00
15,PCBL,Prime Commercial Bank Limited,227337.00,251.80
