rank,symbol,company_name,close,change,change_percent
1,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1248.00,138.00,12.43
2,NABBC,Narayani Development Bank Limited,793.00,48.00,6.44
3,MHNL,Mountain Hydro Nepal Limited,268.00,14.00,5.51
4,NMBHF2,NMB Hybrid Fund L-II,8.85,0.38,4.49
5,PHCL,Peoples Hydropower Company Limited,323.00,13.00,4.19
6,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,1070.00,41.00,3.98
7,HURJA,Himalaya Urja Bikas Company Limited,266.90,9.90,3.85
8,SBL,Siddhartha Bank Limited,447.00,16.00,3.71
9,MEHL,Manakamana Engineering Hydropower Limited,264.00,9.00,3.53
10,SPC,Samling Power Company Limited,406.00,13.70,3.49
11,LICN,Life Insurance Corporation Nepal Limited,806.00,27.00,3.47
12,RHGCL,Rapti Hydro & General Construction Limited,273.10,9.10,3.45
13,TSHL,Three Star Hydropower Limited,362.00,12.00,3.43
14,NWCL,Nepal Warehousing Company Limited,610.00,19.90,3.37
15,NBF3,Nabil Balanced Fund III,9.70,0.29,3.08
