Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,616.40","2,637.58","2,615.69","2,624.36",11.93,0.45,"5,499,316,643.52"
Sensitive Index,464.20,467.58,464.12,465.75,2.07,0.44,"2,148,463,089.20"
Float Index,179.91,181.33,179.86,180.58,0.95,0.53,"5,429,381,297.59"
Sensitive Float Index,156.78,158.00,156.75,157.42,0.83,0.53,"2,148,463,089.20"
Banking SubIndex,"1,482.77","1,491.43","1,481.32","1,487.47",8.58,0.58,"967,212,252.40"
Development Bank Index,"5,436.85","5,510.35","5,432.71","5,473.54",21.13,0.38,"295,431,824.30"
Finance Index,"2,254.66","2,296.83","2,249.80","2,268.10",5.27,0.23,"86,085,063.00"
Hotels And Tourism,"7,129.91","7,228.60","7,129.91","7,185.78",60.81,0.85,"121,311,008.70"
HydroPower Index,"3,612.29","3,658.36","3,609.07","3,633.99",22.97,0.63,"2,459,541,073.79"
Investment,98.61,98.93,97.20,97.44,-0.18,-0.18,"306,122,524.10"
Life Insurance,"11,649.53","11,787.62","11,641.10","11,768.63",125.92,1.08,"216,584,773.50"
Manufacturing And Processing,"10,605.93","10,721.27","10,603.90","10,650.01",29.61,0.27,"668,487,771.80"
Microfinance Index,"4,500.87","4,544.05","4,500.87","4,534.89",24.99,0.55,"173,202,654.90"
Mutual Fund,19.51,19.64,19.43,19.63,0.12,0.65,"5,798,378.74"
Non Life Insurance,"9,745.91","9,878.78","9,681.32","9,751.05",5.18,0.05,"49,053,314.20"
Others Index,"1,849.03","1,867.11","1,830.84","1,837.72",-0.81,-0.04,"58,137,953.30"
Trading Index,"3,278.54","3,431.42","3,272.91","3,282.74",7.32,0.22,"28,211,083.60"
