rank,symbol,company_name,turnover,ltp
1,SBL,Siddhartha Bank Limited,336219576.50,447.00
2,SHIVM,Shivam Cements Limited,272676030.80,685.50
3,SOHL,Solu Hydropower Limited,238480737.30,671.00
4,RSML,Reliance Spinning Mills Limited,171014716.00,2745.00
5,NRN,NRN Infrastructure and Development Limited,145349361.40,1455.00
6,LEC,Liberty Energy Company Limited,136892536.60,252.10
7,PHCL,Peoples Hydropower Company Limited,122526768.70,323.00
8,API,Api Power Company Limited,118226234.00,335.60
9,AKJCL,Ankhukhola Hydropower Company Limited,116705997.30,352.90
10,LICN,Life Insurance Corporation Nepal Limited,111732497.50,806.00
11,TAMOR,Sanima Middle Tamor Hydropower Limited,106388475.90,533.00
12,GHL,Ghalemdi Hydro Limited,95488812.30,246.60
13,HURJA,Himalaya Urja Bikas Company Limited,92542453.30,266.90
14,LSL,Laxmi Sunrise Bank Limited,88232903.60,238.50
15,CHDC,CEDB Holdings Limited,86354165.50,2367.00
