rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,444903451.30,304464743.34,749368194.64,140438707.96000004,50303833.00
2,17,ABC Securities Pvt. Limited,214995603.00,173071337.40,388066940.40,41924265.599999994,21175380.60
3,45,Imperial Securities Co. Limited,188231682.60,187862114.90,376093797.50,369567.6999999881,19230096.80
4,34,Vision Securities Pvt.Limited,155484801.53,214676798.00,370161599.53,-59191996.47,12880997.00
5,42,Sani Securities Company Limited,167420152.90,201386286.10,368806439.00,-33966133.19999999,12628975.00
6,49,Online Securities Limited,147147714.00,194967695.60,342115409.60,-47819981.599999994,16303499.20
7,57,Arya Tara Investment And Securities Pvt. Ltd.,161419226.40,151691567.50,313110793.90,9727658.900000006,4375515.40
8,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,116390496.90,169273320.00,285663816.90,-52882823.099999994,5524129.60
9,4,Stock Broker Opal Securities Investment Pvt. Limited,92136510.90,190053672.70,282190183.60,-97917161.79999998,4371350.80
10,77,Nabil Stock Dealer Limited,161734438.60,114465118.10,276199556.70,47269320.5,102699560.00
11,48,Trishakti Securities Public Limited,122799446.80,128617136.79,251416583.59,-5817689.99000001,12431665.00
12,62,Capital Max Securities Limited,98914471.20,145519016.00,244433487.20,-46604544.8,28642158.40
13,74,KALASH STOCK MARKET PVT. LTD.,99362141.90,127397153.40,226759295.30,-28035011.5,4358637.40
14,14,Nepal Stock House Pvt. Limited,100477590.60,124068621.60,224546212.20,-23591031.0,1309046.00
15,33,Dakshinkali Investment Securities Pvt.Limited,140122001.50,76243483.50,216365485.00,63878518.0,13687437.00
