label,value
Total Turnovers (Rs.),"5,499,316,643.53"
Total Traded Shares,"13,610,496"
Total Transaction,"51,728"
Total Scrips Traded,339
Total Market Cap (Rs.),"4,517,267.88 Millions"
Floated Market Cap (Rs.),"1,528,852.61 Millions"
