rank,symbol,company_name,transactions,ltp
1,SBL,Siddhartha Bank Limited,1851,447.00
2,SOHL,Solu Hydropower Limited,1640,671.00
3,SHIVM,Shivam Cements Limited,1034,685.50
4,PHCL,Peoples Hydropower Company Limited,937,323.00
5,HURJA,Himalaya Urja Bikas Company Limited,929,266.90
6,LEC,Liberty Energy Company Limited,928,252.10
7,SGHL,Sanigad Hydro Limited,910,495.00
8,API,Api Power Company Limited,830,335.60
9,MEPDL,Mount Everest Power Development Limited,820,693.80
10,EBL,Everest Bank Limited,722,691.00
11,HDHPC,Himal Dolakha Hydropower Company Limited,664,224.20
12,RSML,Reliance Spinning Mills Limited,658,2745.00
13,MEN,Mountain Energy Nepal Limited,616,649.10
14,SAPIL,Sarvottam Paints Industries Limited,583,1389.80
15,AKJCL,Ankhukhola Hydropower Company Limited,581,352.90
