rank,symbol,company_name,turnover,ltp
1,RSML,Reliance Spinning Mills Limited,427674194.40,2993.00
2,CFCL,Central Finance Limited,171132354.40,561.00
3,NRN,NRN Infrastructure and Development Limited,166732491.10,1405.00
4,SOHL,Solu Hydropower Limited,145720929.90,650.00
5,SHIVM,Shivam Cements Limited,134606507.50,662.60
6,TAMOR,Sanima Middle Tamor Hydropower Limited,132193927.30,493.10
7,ENL,Emerging Nepal Limited,104361706.10,587.90
8,SYPNL,SY Panel Nepal Limited,102143787.20,1327.00
9,RIDI,Ridi Power Company Limited,100356578.00,347.90
10,GBBL,Garima Bikas Bank Limited,85389111.10,444.00
11,KDL,Kalinchowk Darshan Limited,84377980.90,623.20
12,AKJCL,Ankhukhola Hydropower Company Limited,83856732.90,338.00
13,MNBBL,Muktinath Bikas Bank Limited,67935725.80,318.40
14,SAHAS,Sahas Urja Limited,53800172.40,692.00
15,SBL,Siddhartha Bank Limited,48728938.40,425.00
