rank,symbol,company_name,close,change,change_percent
1,SINDU,Sindhu Bikas Bank Limited,423.10,-74.60,-14.99
2,ENL,Emerging Nepal Limited,587.90,-103.70,-14.99
3,JFL,Janaki Finance Company Limited,266.60,-47.00,-14.99
4,KDL,Kalinchowk Darshan Limited,623.20,-103.80,-14.28
5,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,2498.00,-342.00,-12.04
6,MNBBL,Muktinath Bikas Bank Limited,318.40,-27.60,-7.98
7,TVCL,Trishuli Jal Vidhyut Company Limited,293.10,-24.10,-7.60
8,SAPDBL,Saptakoshi Development Bank Limited,632.00,-50.00,-7.33
9,NFS,Nepal Finance Limited,491.10,-33.80,-6.44
10,CFCL,Central Finance Limited,561.00,-34.00,-5.71
11,MKJC,Mailung Khola Jal Vidhyut Company Limited,274.00,-15.40,-5.32
12,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,860.00,-39.00,-4.34
13,RHPL,Rasuwagadhi Hydropower Company Limited,163.00,-7.20,-4.23
14,NRM,Nepal Republic Media Limited,275.10,-11.90,-4.15
15,TRH,Taragaon Regency Hotel Limited,765.00,-33.00,-4.14
