rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,1605,490.30
2,MNBBL,Muktinath Bikas Bank Limited,1371,318.40
3,SOHL,Solu Hydropower Limited,1269,650.00
4,SAPIL,Sarvottam Paints Industries Limited,1158,1240.00
5,RSML,Reliance Spinning Mills Limited,1024,2993.00
6,SYPNL,SY Panel Nepal Limited,936,1327.00
7,CFCL,Central Finance Limited,915,561.00
8,KAHL,Kalanga Hydro Limited,822,483.00
9,JFL,Janaki Finance Company Limited,807,266.60
10,MEPDL,Mount Everest Power Development Limited,793,628.00
11,PCIL,Palpa Cements Industries Limited,760,609.90
12,SOPL,Sopan Pharmaceuticals Limited,743,731.00
13,SHIVM,Shivam Cements Limited,738,662.60
14,GBBL,Garima Bikas Bank Limited,729,444.00
15,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,726,502.00
