Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,577.22","2,578.43","2,543.22","2,545.40",-15.43,-0.60,"4,198,921,039.07"
Sensitive Index,459.89,460.27,451.56,452.34,-1.61,-0.35,"1,295,677,578.60"
Float Index,176.85,176.88,174.36,174.65,-1.01,-0.58,"4,133,330,483.30"
Sensitive Float Index,154.95,155.09,152.29,152.59,-0.66,-0.43,"1,295,677,578.60"
Banking SubIndex,"1,474.06","1,474.61","1,442.31","1,444.89",-2.25,-0.15,"320,731,534.10"
Development Bank Index,"5,424.44","5,426.59","5,299.84","5,312.84",-129.31,-2.37,"299,408,987.10"
Finance Index,"2,232.38","2,239.01","2,188.45","2,198.29",-46.81,-2.08,"287,302,391.50"
Hotels And Tourism,"7,065.89","7,104.38","6,962.71","6,987.77",-97.92,-1.38,"157,970,902.80"
HydroPower Index,"3,515.80","3,527.15","3,484.58","3,497.36",-17.39,-0.49,"1,543,377,808.60"
Investment,95.88,95.98,94.08,94.27,-0.78,-0.82,"336,471,076.00"
Life Insurance,"11,226.69","11,256.08","11,174.01","11,209.11",-23.44,-0.20,"62,135,650.20"
Manufacturing And Processing,"10,589.78","10,717.89","10,565.29","10,579.45",-30.41,-0.28,"863,620,541.80"
Microfinance Index,"4,421.25","4,433.21","4,395.88","4,416.71",-12.03,-0.27,"132,460,195.10"
Mutual Fund,19.68,19.68,19.48,19.59,-0.10,-0.51,"31,812,569.77"
Non Life Insurance,"9,457.27","9,525.64","9,299.96","9,335.62",-149.31,-1.57,"52,911,832.50"
Others Index,"1,844.90","1,848.79","1,792.26","1,795.19",-8.84,-0.49,"71,875,009.50"
Trading Index,"3,238.64","3,268.57","3,184.99","3,187.88",-50.75,-1.56,"5,064,554.10"
