rank,symbol,company_name,close,change,change_percent
1,ULHC,Upper Lohore Khola Hydropower Company Limited,299.00,39.00,15.00
2,SPL,Shuvam Power Limited,655.00,39.40,6.40
3,CBLD88,10.25% Civil Bank Debenture 2088,1235.00,69.30,5.94
4,BHPL,Barahi Hydropower Public Limited,457.00,25.00,5.79
5,IHL,Ingwa Hydropower Ltd,302.90,10.70,3.66
6,SIPD,Shikhar Power Development Limited,611.80,20.70,3.50
7,RBBD83,8.5% RBBL Debenture 2083,1045.00,34.70,3.43
8,MANDU,Mandu Hydropower Limited,700.00,23.00,3.40
9,NCCD86,9.5%  NCC Rinpatra 2086,1155.00,37.00,3.31
10,LSH12,LS Horizon 12,9.22,0.27,3.02
11,BOKD86,8.5% BOK Debenture 2086,1084.60,31.50,2.99
12,KBLD86,10.25% Kumari Bank Debenture 2086,1177.00,34.00,2.97
13,NICFC,NIC Asia Flexi Cap Fund,9.03,0.26,2.96
14,LUK,Laxmi Unnati Kosh,9.78,0.28,2.95
15,GBILD86/87,8.5% Global IME Bank Ltd. Debenture 2086/87,1085.00,30.00,2.84
