rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,379482531.10,361478075.00,740960606.10,18004456.100000024,67864750.80
2,77,Nabil Stock Dealer Limited,154031570.20,201812137.00,355843707.20,-47780566.80000001,165420858.00
3,42,Sani Securities Company Limited,134232699.70,194479100.00,328711799.70,-60246400.30000001,13456247.80
4,34,Vision Securities Pvt.Limited,145277686.30,142922762.70,288200449.00,2354923.600000024,13529871.80
5,45,Imperial Securities Co. Limited,119708921.50,146528596.10,266237517.60,-26819674.599999994,6822297.80
6,49,Online Securities Limited,120086997.20,121548837.80,241635835.00,-1461840.599999994,5371104.80
7,17,ABC Securities Pvt. Limited,94170415.70,129952977.68,224123393.38,-35782561.980000004,8840234.80
8,44,Dynamic Money Managers Securities Pvt.Ltd,102477260.40,107473969.80,209951230.20,-4996709.399999991,20650364.00
9,48,Trishakti Securities Public Limited,105680918.30,101742460.40,207423378.70,3938457.899999991,7468303.40
10,57,Arya Tara Investment And Securities Pvt. Ltd.,94764962.70,98582449.66,193347412.36,-3817486.9599999934,11287990.60
11,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,100984796.80,64928722.90,165913519.70,36056073.9,3825966.00
12,32,Premier Securites Company Limited,89946062.70,72444805.52,162390868.22,17501257.180000007,1729043.00
13,94,K.B.L. Securities Limited,74674128.50,83581982.90,158256111.40,-8907854.400000006,5614218.40
14,14,Nepal Stock House Pvt. Limited,80936948.20,77116912.70,158053860.90,3820035.5,8896844.80
15,62,Capital Max Securities Limited,81000870.76,75053293.30,156054164.06,5947577.460000008,6772614.00
