rank,symbol,company_name,volume,ltp
1,GIBF1,Global IME Balanced Fund-I,1261369.00,11.00
2,PRSF,Prabhu Smart Fund,671300.00,12.90
3,CFCL,Central Finance Limited,291259.00,561.00
4,RIDI,Ridi Power Company Limited,287314.00,347.90
5,TAMOR,Sanima Middle Tamor Hydropower Limited,266955.00,493.10
6,PSF,Prabhu Select Fund,263368.00,12.13
7,AKJCL,Ankhukhola Hydropower Company Limited,246140.00,338.00
8,SOHL,Solu Hydropower Limited,222845.00,650.00
9,MNBBL,Muktinath Bikas Bank Limited,209434.00,318.40
10,SHIVM,Shivam Cements Limited,200599.00,662.60
11,GBBL,Garima Bikas Bank Limited,191215.00,444.00
12,ENL,Emerging Nepal Limited,171560.00,587.90
13,RSML,Reliance Spinning Mills Limited,143170.00,2993.00
14,KDL,Kalinchowk Darshan Limited,134662.00,623.20
15,GBIME,Global IME Bank Limited,126513.00,250.40
