S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,316.00,317.00,315.00,315.00,315.00,0.00,0.00,315.38,"1,983.00",314.00,"625,393.00",18,1.00,2.00,0.32,0.63,-0.12,470.00,283.00
2,AHPC,-,154.00,154.00,150.00,150.00,150.00,0.00,0.00,150.09,"1,062.00",153.00,"159,398.00",4,-3.00,4.00,-1.96,2.67,-0.06,285.00,144.00
3,AKPL,-,255.00,260.00,255.00,260.00,260.00,0.00,0.00,256.25,52.00,260.00,"13,325.00",4,0.00,5.00,0.00,1.96,1.44,435.00,212.00
4,ALICL,-,670.00,670.00,651.00,661.00,661.00,0.00,0.00,658.49,721.00,683.00,"474,769.00",10,-22.00,19.00,-3.22,2.92,0.38,"1,723.00",520.00
5,AMFI,-,593.00,593.00,593.00,593.00,593.00,0.00,0.00,593.00,10.00,582.00,"5,930.00",1,11.00,0.00,1.89,0.00,0.00,"1,400.00",246.00
6,API,-,285.00,289.00,285.00,289.00,289.00,0.00,0.00,285.86,"1,211.00",284.00,"346,175.00",19,5.00,4.00,1.76,1.40,1.09,683.00,246.00
7,BARUN,-,150.00,150.00,147.00,147.00,147.00,0.00,0.00,148.40,50.00,150.00,"7,420.00",5,-3.00,3.00,-2.00,2.04,-0.95,275.00,145.00
8,BBC,-,"1,693.00","1,693.00","1,693.00","1,693.00","1,693.00",0.00,0.00,"1,693.00",50.00,"1,660.00","84,650.00",2,33.00,0.00,1.99,0.00,0.00,"3,030.00","1,660.00"
9,BNT,-,"5,755.00","5,755.00","5,530.00","5,530.00","5,530.00",0.00,0.00,"5,579.92",120.00,"5,872.00","669,590.00",9,-342.00,225.00,-5.82,4.07,-0.90,"8,287.00","5,336.00"
10,BOKL,-,261.00,264.00,259.00,261.00,261.00,0.00,0.00,260.51,"3,971.00",264.00,"1,034,498.00",17,-3.00,5.00,-1.14,1.93,0.19,503.00,250.00
11,BPCL,-,448.00,448.00,442.00,442.00,442.00,0.00,0.00,443.85,800.00,457.00,"355,080.00",33,-15.00,6.00,-3.28,1.36,-0.42,783.00,420.00
12,CBBL,-,870.00,878.00,870.00,871.00,871.00,0.00,0.00,871.96,210.00,877.00,"183,112.00",7,-6.00,8.00,-0.68,0.92,-0.11,"1,752.00",733.00
