S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACLBSL,51.33,"1,548.00","1,645.00","1,531.00","1,582.00","1,582.00",0.00,0.00,"1,598.52","7,240.00","1,579.00","11,573,304.00",188,3.00,114.00,0.19,7.45,-1.04,"1,938.00",450.00
2,ADBL,62.03,430.00,436.00,429.00,430.00,430.00,0.00,0.00,431.15,"69,148.00",433.00,"29,813,067.00",495,-3.00,7.00,-0.69,1.63,-0.27,576.00,313.00
3,AHPC,64.97,248.00,266.00,248.00,266.00,266.00,0.00,0.00,256.38,"97,413.00",253.00,"24,974,778.00",450,13.00,18.00,5.14,7.26,3.62,388.00,91.00
4,AIL,48.44,850.00,877.00,843.00,860.00,860.00,0.00,0.00,860.86,"15,456.00",865.00,"13,305,375.00",447,-5.00,34.00,-0.58,4.03,-0.10,"1,125.00",291.00
5,AKJCL,56.23,149.00,154.00,149.00,154.00,154.00,0.00,0.00,151.87,"6,296.00",152.00,"956,185.00",106,2.00,5.00,1.32,3.36,1.38,179.00,46.40
6,AKPL,68.95,336.00,363.00,336.00,360.00,360.00,0.00,0.00,354.46,"404,412.00",341.00,"143,347,024.00","1,154",19.00,27.00,5.57,8.04,1.54,368.00,100.00
7,ALBSL,51.05,"1,653.00","1,700.00","1,653.00","1,677.00","1,677.00",0.00,0.00,"1,684.85","7,192.00","1,685.00","12,117,472.00",141,-8.00,47.00,-0.47,2.84,-0.47,"1,808.00",536.00
8,ALICL,49.17,"1,336.00","1,336.00","1,255.00","1,265.00","1,265.00",0.00,0.00,"1,268.53","19,304.00","1,273.00","24,487,645.00",131,-8.00,81.00,-0.63,6.45,-0.28,"1,460.00",431.00
9,API,58.17,355.00,355.00,342.00,352.00,352.00,0.00,0.00,349.55,"242,039.00",345.00,"84,604,277.00",872,7.00,13.00,2.03,3.80,0.70,358.00,103.00
10,BARUN,49.14,241.00,245.00,237.00,241.00,241.00,0.00,0.00,243.47,"10,344.00",241.00,"2,518,454.00",75,0.00,8.00,0.00,3.38,-1.02,276.00,79.00
11,BFC,63.42,183.00,183.00,175.00,177.00,177.00,0.00,0.00,177.59,"37,975.00",180.00,"6,743,912.00",163,-3.00,8.00,-1.67,4.57,-0.33,202.00,85.00
12,BNT,53.98,"9,001.00","9,299.00","9,000.00","9,010.00","9,010.00",0.00,0.00,"9,047.48",425.00,"9,130.00","3,845,180.00",25,-120.00,299.00,-1.31,3.32,-0.42,"11,440.00","5,847.00"
13,BOKL,49.91,313.00,316.00,310.00,312.00,312.00,0.00,0.00,313.35,"91,847.00",313.00,"28,779,881.00",291,-1.00,6.00,-0.32,1.94,-0.43,344.00,196.00
14,BPCL,49.57,415.00,425.00,415.00,420.00,420.00,0.00,0.00,420.23,"28,046.00",419.00,"11,785,655.00",234,1.00,10.00,0.24,2.41,-0.05,479.00,302.00
15,CBBL,50.83,"1,730.00","1,774.00","1,729.00","1,750.00","1,750.00",0.00,0.00,"1,748.62","31,719.00","1,748.00","55,464,427.00",353,2.00,45.00,0.11,2.60,0.08,"1,884.00",835.00
16,CBL,61.95,248.00,248.00,234.00,240.00,240.00,0.00,0.00,241.80,"347,996.00",237.00,"84,145,772.00","1,212",3.00,14.00,1.27,5.98,-0.75,276.00,125.00
17,CCBL,51.10,251.00,253.00,246.00,250.00,250.00,0.00,0.00,249.40,"86,428.00",249.00,"21,555,503.00",448,1.00,7.00,0.40,2.85,0.24,298.00,136.00
18,CCBLPO,61.12,112.00,112.00,112.00,112.00,112.00,0.00,0.00,112.00,"129,217.00",112.00,"14,472,304.00",2,0.00,0.00,0.00,0.00,0.00,114.00,112.00
19,CFCL,57.24,228.00,233.00,227.00,228.00,228.00,0.00,0.00,230.95,"22,922.00",231.00,"5,293,877.00",80,-3.00,6.00,-1.30,2.64,-1.29,246.00,116.00
20,CGH,55.79,"2,071.00","2,240.00","2,071.00","2,197.00","2,197.00",0.00,0.00,"2,163.78","34,463.00","2,180.00","74,570,201.00","2,025",17.00,169.00,0.78,8.16,1.51,"2,800.00",159.00
21,CHCL,52.53,644.00,655.00,635.00,644.00,644.00,0.00,0.00,643.29,"69,941.00",644.00,"44,992,594.00",321,0.00,20.00,0.00,3.15,0.11,720.00,330.00
