S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACLBSL,47.61,"1,332.00","1,388.00","1,332.00","1,374.00","1,374.00",0.00,0.00,"1,368.36","1,173.00","1,336.20","1,605,082.20",64,37.80,56.00,2.83,4.20,0.41,"1,870.00","1,077.00"
2,ADBL,54.19,390.00,403.00,386.50,403.00,403.00,0.00,0.00,397.83,"56,207.00",386.50,"22,360,879.10",534,16.50,16.50,4.27,4.27,1.28,620.00,378.00
3,AHPC,51.78,517.60,525.00,507.60,518.00,518.00,0.00,0.00,517.77,"249,397.00",507.50,"129,130,330.20","1,028",10.50,17.40,2.07,3.43,0.04,785.00,237.00
4,AIL,52.75,650.70,671.00,636.10,665.00,665.00,0.00,0.00,654.46,"5,975.00",638.00,"3,910,401.70",141,27.00,34.90,4.23,5.49,1.58,"1,125.00",588.80
5,AKJCL,51.11,300.00,311.10,298.00,307.90,307.90,0.00,0.00,306.76,"83,804.00",295.00,"25,707,646.50",558,12.90,13.10,4.37,4.40,0.37,502.00,138.00
6,AKPL,52.13,510.00,525.00,510.00,523.00,523.00,0.00,0.00,520.68,"105,985.00",505.00,"55,183,947.60",780,18.00,15.00,3.56,2.94,0.44,882.40,305.00
7,ALBSL,54.23,"1,420.00","1,450.00","1,420.00","1,450.00","1,450.00",0.00,0.00,"1,435.97","2,983.00","1,410.00","4,283,510.70",52,40.00,30.00,2.84,2.11,0.97,"2,101.20","1,176.00"
8,ALICL,55.76,821.10,885.50,821.10,885.50,885.50,0.00,0.00,868.45,"58,683.00",805.00,"50,963,423.20",523,80.50,64.40,10.00,7.84,1.93,"1,565.00",775.00
9,API,54.67,523.20,525.00,509.00,510.00,510.00,0.00,0.00,514.65,"586,287.00",513.00,"301,730,570.00","3,162",-3.00,16.00,-0.58,3.14,-0.91,670.00,285.00
10,BARUN,49.65,516.00,527.00,512.00,521.00,521.00,0.00,0.00,520.99,"25,313.00",509.00,"13,187,773.50",181,12.00,15.00,2.36,2.93,0.00,763.40,219.00
11,BBC,48.50,"4,467.00","4,600.00","4,460.00","4,560.00","4,560.00",0.00,0.00,"4,536.65",325.00,"4,380.00","1,474,410.00",23,180.00,140.00,4.11,3.14,0.51,"8,208.00","3,024.00"
12,BFC,53.35,448.00,491.70,448.00,475.00,475.00,0.00,0.00,470.26,"36,376.00",447.00,"17,106,107.70",297,28.00,43.70,6.26,9.75,1.00,630.00,151.00
13,BNHC,52.10,677.00,703.00,664.00,683.00,683.00,0.00,0.00,684.34,"13,279.00",677.00,"9,087,324.70",219,6.00,39.00,0.89,5.87,-0.20,744.00,246.70
14,BNT,54.22,"13,497.00","14,278.00","12,900.00","13,750.00","13,750.00",0.00,0.00,"13,854.33",996.00,"13,587.00","13,798,911.00",41,163.00,"1,378.00",1.20,10.68,-0.76,"17,670.00","8,660.00"
15,BOKL,53.17,265.20,271.00,264.00,267.00,267.00,0.00,0.00,268.02,"39,620.00",260.00,"10,618,782.40",354,7.00,7.00,2.69,2.65,-0.38,433.20,240.20
16,BPCL,51.41,412.00,426.00,412.00,421.00,421.00,0.00,0.00,420.59,"21,017.00",410.00,"8,839,463.30",299,11.00,14.00,2.68,3.40,0.10,703.00,383.00
17,CBBL,53.26,"1,239.00","1,270.00","1,239.00","1,258.20","1,258.20",0.00,0.00,"1,255.34","13,573.00","1,215.00","17,038,730.50",313,43.20,31.00,3.56,2.50,0.23,"2,065.20","1,190.00"
18,CBL,53.35,230.00,240.60,230.00,238.00,238.00,0.00,0.00,237.02,"80,849.00",229.00,"19,162,440.90",374,9.00,10.60,3.93,4.61,0.41,316.00,216.00
19,CCBL,53.96,227.10,237.00,226.00,233.00,233.00,0.00,0.00,231.92,"63,813.00",226.00,"14,799,541.00",425,7.00,11.00,3.10,4.87,0.46,324.00,212.00
20,CFCL,53.02,442.10,456.00,435.00,453.90,453.90,0.00,0.00,448.07,"26,320.00",433.50,"11,793,101.20",194,20.40,21.00,4.71,4.83,1.29,814.90,183.00
21,CGH,54.49,"1,366.00","1,428.00","1,340.00","1,400.00","1,400.00",0.00,0.00,"1,387.00","7,099.00","1,340.00","9,846,332.50",164,60.00,88.00,4.48,6.57,0.93,"2,800.00",844.00
22,CHCL,52.67,498.20,502.00,490.00,497.80,497.80,0.00,0.00,496.16,"29,450.00",488.50,"14,611,909.30",303,9.30,12.00,1.90,2.45,0.33,785.00,462.00
23,CHDC,51.98,895.00,938.40,895.00,932.00,932.00,0.00,0.00,920.75,"19,730.00",898.00,"18,166,348.00",262,34.00,43.40,3.79,4.85,1.21,"1,415.00",416.00
24,CHL,52.69,458.00,486.00,458.00,486.00,486.00,0.00,0.00,474.95,"25,478.00",459.00,"12,100,753.40",239,27.00,28.00,5.88,6.11,2.27,715.00,195.00
25,CIT,54.73,"3,087.00","3,180.00","3,055.00","3,160.00","3,160.00",0.00,0.00,"3,130.28","15,683.00","3,028.00","49,092,119.60",347,132.00,125.00,4.36,4.09,0.94,"4,560.00","2,625.00"
26,CLBSL,53.26,948.00,983.00,935.00,970.00,970.00,0.00,0.00,955.98,"4,887.00",937.00,"4,671,879.50",88,33.00,48.00,3.52,5.13,1.45,"1,811.00",867.00
27,CMF1,53.25,9.87,9.92,9.85,9.87,9.87,0.00,0.00,9.88,"69,109.00",9.87,"683,106.74",23,0.00,0.07,0.00,0.71,-0.15,16.01,9.03
28,CMF2,48.03,10.48,10.48,10.28,10.31,10.31,0.00,0.00,10.41,"4,800.00",10.29,"49,979.00",7,0.02,0.20,0.19,1.95,-0.99,16.87,9.04
29,CORBL,54.98,501.00,549.40,500.00,549.40,549.40,0.00,0.00,541.24,"6,214.00",499.50,"3,363,246.90",87,49.90,49.40,9.99,9.88,1.49,"1,155.00",460.00
30,CZBIL,52.15,267.00,278.00,267.00,278.00,278.00,0.00,0.00,273.26,"53,275.00",267.00,"14,557,743.20",321,11.00,11.00,4.12,4.12,1.71,444.00,217.31
31,DDBL,54.25,"1,140.00","1,180.00","1,140.00","1,165.00","1,165.00",0.00,0.00,"1,160.29","13,589.00","1,125.00","15,767,199.20",232,40.00,40.00,3.56,3.51,0.40,"2,050.00","1,019.00"
32,DHPL,48.20,320.00,326.00,315.00,321.00,321.00,0.00,0.00,321.31,"19,172.00",314.00,"6,160,080.90",162,7.00,11.00,2.23,3.49,-0.10,485.20,110.00
33,EBL,49.96,550.00,558.90,539.00,555.00,555.00,0.00,0.00,548.79,"14,235.00",540.00,"7,812,052.90",129,15.00,19.90,2.78,3.69,1.12,841.00,515.00
34,EDBL,53.13,457.00,469.00,455.00,465.00,465.00,0.00,0.00,463.23,"42,306.00",449.00,"19,597,223.80",220,16.00,14.00,3.56,3.08,0.38,"1,195.00",410.00
35,EDBLPO,50.14,251.00,251.00,251.00,251.00,251.00,0.00,0.00,251.00,"10,000.00",251.00,"2,510,000.00",1,0.00,0.00,0.00,0.00,0.00,579.00,251.00
36,EIC,57.05,596.90,632.00,596.90,632.00,632.00,0.00,0.00,604.33,"118,577.00",585.20,"71,659,539.80",160,46.80,35.10,8.00,5.88,4.38,885.00,526.00
37,EICPO,42.17,436.70,454.50,436.70,444.00,444.00,0.00,0.00,449.86,"2,241.00",445.60,"1,008,142.60",16,-1.60,17.80,-0.36,4.08,-1.32,530.10,325.90
38,ENL,57.12,348.30,375.60,348.30,375.60,375.60,0.00,0.00,362.32,51.00,341.50,"18,478.50",6,34.10,27.30,9.99,7.84,3.53,375.60,287.10
39,FMDBL,54.62,788.40,808.00,788.00,797.00,797.00,0.00,0.00,798.69,"27,491.00",773.00,"21,956,880.90",248,24.00,20.00,3.10,2.54,-0.21,"1,365.00",667.00
40,FOWAD,53.05,"2,236.00","2,331.00","2,232.00","2,327.00","2,327.00",0.00,0.00,"2,295.41","8,180.00","2,222.00","18,776,475.20",175,105.00,99.00,4.73,4.44,1.36,"3,311.00","2,000.00"
41,GBBL,55.73,550.00,570.70,549.00,570.70,570.70,0.00,0.00,563.05,"104,808.00",548.00,"59,012,047.60",814,22.70,21.70,4.14,3.95,1.34,750.00,293.00
42,GBD80/81,31.20,940.60,940.60,940.60,940.60,940.60,0.00,0.00,940.60,50.00,932.00,"47,030.00",1,8.60,0.00,0.92,0.00,0.00,"1,085.00",932.00
43,GBIME,56.05,320.00,329.00,318.00,328.00,328.00,0.00,0.00,323.69,"197,486.00",318.00,"63,923,660.60",967,10.00,11.00,3.14,3.46,1.31,510.00,275.00
44,GBLBS,50.96,870.00,914.90,870.00,903.00,903.00,0.00,0.00,894.22,"8,955.00",860.00,"8,007,763.50",134,43.00,44.90,5.00,5.16,0.97,"1,437.00",800.00
45,GFCL,51.77,600.00,622.00,600.00,618.00,618.00,0.00,0.00,614.11,"11,698.00",590.00,"7,183,800.50",171,28.00,22.00,4.75,3.67,0.63,"1,010.00",241.00
46,GHL,49.64,320.20,336.50,320.00,327.00,327.00,0.00,0.00,327.60,"44,628.00",314.00,"14,620,198.80",282,13.00,16.50,4.14,5.16,-0.18,555.90,144.00
47,GIC,53.38,573.00,607.00,551.00,607.00,607.00,0.00,0.00,586.73,"8,150.00",561.80,"4,781,827.50",157,45.20,56.00,8.05,10.16,3.34,860.00,485.10
48,GILB,46.65,"1,570.50","1,629.00","1,570.50","1,620.00","1,620.00",0.00,0.00,"1,615.45",533.00,"1,566.50","861,032.50",28,53.50,58.50,3.42,3.72,0.28,"3,191.00","1,390.00"
49,GIMES1,45.61,11.97,11.97,11.74,11.95,11.95,0.00,0.00,11.80,"13,585.00",11.75,"160,333.80",13,0.20,0.23,1.70,1.96,1.24,25.09,9.90
50,GLBSL,51.64,"1,326.00","1,370.00","1,326.00","1,352.00","1,352.00",0.00,0.00,"1,350.35",890.00,"1,326.00","1,201,809.00",21,26.00,44.00,1.96,3.32,0.12,"2,245.00","1,017.00"
51,GLH,54.10,452.00,478.00,452.00,474.90,474.90,0.00,0.00,465.52,"13,369.00",461.00,"6,223,603.70",224,13.90,26.00,3.02,5.75,1.97,657.00,299.00
52,GLICL,53.63,581.00,616.00,572.00,612.00,612.00,0.00,0.00,603.30,"52,497.00",570.00,"31,671,411.90",340,42.00,44.00,7.37,7.69,1.42,901.00,460.00
53,GMFBS,54.81,"1,185.00","1,208.00","1,185.00","1,208.00","1,208.00",0.00,0.00,"1,202.46","1,241.00","1,185.00","1,492,253.10",24,23.00,23.00,1.94,1.94,0.46,"1,972.00","1,140.00"
54,GMFIL,53.72,408.00,430.40,407.00,429.00,429.00,0.00,0.00,419.37,"21,020.00",400.00,"8,815,090.50",172,29.00,23.40,7.25,5.75,2.25,773.00,206.00
55,GRDBL,53.28,340.00,357.00,340.00,357.00,357.00,0.00,0.00,348.84,"10,053.00",336.00,"3,506,848.40",97,21.00,17.00,6.25,5.00,2.29,537.90,162.00
56,GUFL,51.71,622.90,645.00,615.00,644.80,644.80,0.00,0.00,635.09,"37,248.00",611.00,"23,655,684.60",402,33.80,30.00,5.53,4.88,1.51,"1,500.00",380.00
57,HDHPC,51.53,313.00,321.00,309.00,316.00,316.00,0.00,0.00,314.83,"70,768.00",309.00,"22,279,577.10",415,7.00,12.00,2.27,3.88,0.37,478.90,127.00
58,HDL,53.38,"3,943.30","4,060.00","3,930.00","4,040.00","4,040.00",0.00,0.00,"4,001.22","32,327.00","3,866.00","129,347,526.10","1,134",174.00,130.00,4.50,3.31,0.96,"7,938.00","3,780.00"
59,HGI,50.61,610.00,657.90,604.00,631.00,631.00,0.00,0.00,620.05,"20,673.00",608.00,"12,818,280.30",108,23.00,53.90,3.78,8.92,1.74,982.00,557.00
60,HIDCL,51.95,300.00,308.00,295.10,307.00,307.00,0.00,0.00,303.89,"267,687.00",295.00,"81,348,099.20","1,667",12.00,12.90,4.07,4.37,1.01,606.00,244.10
61,HPPL,50.91,460.00,473.00,458.00,468.50,468.50,0.00,0.00,466.20,"11,378.00",459.00,"5,304,384.00",129,9.50,15.00,2.07,3.28,0.49,749.10,365.00
62,HURJA,47.19,462.00,508.00,462.00,499.00,499.00,0.00,0.00,488.87,"4,550.00",462.00,"2,224,342.70",82,37.00,46.00,8.01,9.96,2.03,685.40,315.00
63,ICFC,55.73,680.00,680.00,669.00,669.50,669.50,0.00,0.00,670.64,"317,775.00",669.90,"213,113,872.20","1,602",-0.40,11.00,-0.06,1.64,-0.17,"1,176.80",285.00
64,IGI,50.18,680.00,706.10,672.00,699.00,699.00,0.00,0.00,694.36,"29,213.00",673.10,"20,284,442.60",337,25.90,34.10,3.85,5.07,0.66,"1,465.00",646.50
65,ILBS,52.05,"1,190.00","1,221.00","1,190.00","1,215.00","1,215.00",0.00,0.00,"1,206.09","2,867.00","1,175.00","3,457,865.30",69,40.00,31.00,3.40,2.61,0.73,"2,140.00","1,144.00"
66,JBBL,54.90,415.00,427.00,412.00,425.00,425.00,0.00,0.00,422.24,"125,934.00",410.00,"53,174,700.40","1,147",15.00,15.00,3.66,3.64,0.65,649.90,215.00
67,JBLB,44.76,"5,020.00","5,050.00","4,990.00","5,035.00","5,035.00",0.00,0.00,"5,032.92","12,685.00","4,978.00","63,842,651.80",669,57.00,60.00,1.15,1.20,0.04,"5,516.90",890.00
68,JFL,53.15,502.00,520.00,502.00,519.00,519.00,0.00,0.00,516.23,"19,858.00",494.90,"10,251,234.00",224,24.10,18.00,4.87,3.59,0.53,836.00,244.00
69,JLI,55.89,565.00,621.50,565.00,621.50,621.50,0.00,0.00,613.03,"47,425.00",565.00,"29,072,820.90",570,56.50,56.50,10.00,10.00,1.36,998.00,360.00
70,JOSHI,50.31,312.10,320.00,308.00,320.00,320.00,0.00,0.00,315.85,"31,535.00",306.00,"9,960,263.60",240,14.00,12.00,4.58,3.90,1.30,507.00,115.00
71,JSLBB,49.40,"2,286.00","2,327.00","2,285.00","2,290.00","2,290.00",0.00,0.00,"2,299.86",463.00,"2,242.00","1,064,836.50",24,48.00,42.00,2.14,1.84,-0.43,"5,500.00","2,061.10"
72,KBL,51.28,240.00,245.00,236.00,242.90,242.90,0.00,0.00,241.61,"55,587.00",237.00,"13,430,648.80",410,5.90,9.00,2.49,3.81,0.53,413.00,223.00
73,KEF,49.03,9.43,9.44,9.26,9.28,9.28,0.00,0.00,9.31,"9,270.00",9.43,"86,268.00",29,-0.15,0.18,-1.59,1.94,-0.28,11.65,8.67
74,KKHC,48.41,311.10,317.00,305.00,315.10,315.10,0.00,0.00,314.03,"11,037.00",305.00,"3,465,974.50",130,10.10,12.00,3.31,3.93,0.34,556.20,114.00
75,KLBSL,55.62,"1,488.00","1,489.00","1,465.00","1,489.00","1,489.00",0.00,0.00,"1,480.14","2,590.00","1,459.00","3,833,553.00",50,30.00,24.00,2.06,1.64,0.60,"2,042.00","1,072.00"
