S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACLBSL,54.67,746.00,830.00,746.00,795.00,795.00,0.00,0.00,787.43,"1,171.00",760.00,"922,079.70",46,35.00,84.00,4.61,11.26,0.95,"1,566.00",675.00
2,ADBL,44.11,326.00,329.50,319.50,326.00,326.00,0.00,0.00,326.21,"25,571.00",326.00,"8,341,448.90",170,0.00,10.00,0.00,3.13,-0.06,448.00,298.00
3,ADLB,44.86,511.20,521.40,511.20,521.40,521.40,0.00,0.00,516.30,20.00,501.20,"10,326.00",2,20.20,10.20,4.03,2.00,0.98,521.40,256.80
4,AHPC,52.06,298.00,308.90,295.00,299.00,299.00,0.00,0.00,302.05,"116,804.00",303.20,"35,280,721.30",399,-4.20,13.90,-1.39,4.71,-1.02,628.30,250.00
5,AIL,61.96,475.30,512.60,470.00,512.50,512.50,0.00,0.00,501.96,"26,418.00",466.00,"13,260,758.50",396,46.50,42.60,9.98,9.06,2.06,806.00,344.00
6,AKBSL,37.75,"1,548.00","1,610.00","1,539.00","1,575.00","1,575.00",0.00,0.00,"1,571.76","5,594.00","1,548.00","8,792,408.30",147,27.00,71.00,1.74,4.61,0.21,"1,790.00",391.50
7,AKJCL,48.78,195.00,200.00,190.10,198.00,198.00,0.00,0.00,196.38,"38,954.00",198.00,"7,649,623.70",246,0.00,9.90,0.00,5.21,0.82,350.00,159.80
8,AKPL,54.36,381.00,397.00,375.00,395.00,395.00,0.00,0.00,390.80,"75,575.00",388.00,"29,534,336.30",394,7.00,22.00,1.80,5.87,1.06,624.00,325.00
9,ALBSL,47.74,"1,000.00","1,000.00",978.00,990.00,990.00,0.00,0.00,988.08,"1,505.00",997.00,"1,487,067.70",50,-7.00,22.00,-0.70,2.25,0.19,"1,750.00",874.30
10,ALICL,50.56,621.00,655.80,620.00,651.50,651.50,0.00,0.00,644.87,"63,026.00",632.00,"40,643,876.30",428,19.50,35.80,3.09,5.77,1.02,"1,374.00",428.00
11,API,49.12,235.00,241.20,230.00,237.00,237.00,0.00,0.00,237.41,"143,592.00",235.00,"34,090,444.20",663,2.00,11.20,0.85,4.87,-0.17,575.00,200.00
12,AVYAN,51.50,725.00,730.00,715.00,718.00,718.00,0.00,0.00,722.14,"3,850.00",717.30,"2,780,232.00",184,0.70,15.00,0.10,2.10,-0.58,963.00,316.00
13,BARUN,52.94,222.90,228.00,222.10,228.00,228.00,0.00,0.00,225.85,"24,685.00",227.00,"5,575,119.90",168,1.00,5.90,0.44,2.66,0.94,595.00,190.30
14,BBC,46.91,"3,300.00","3,349.00","3,280.00","3,330.00","3,330.00",0.00,0.00,"3,302.00",396.00,"3,236.00","1,307,591.00",18,94.00,69.00,2.90,2.10,0.84,"5,763.00","3,083.00"
15,BFC,53.06,351.00,358.80,344.00,357.00,357.00,0.00,0.00,354.85,"22,678.00",351.00,"8,047,294.20",168,6.00,14.80,1.71,4.30,0.60,577.00,292.50
16,BHDC,41.60,365.00,366.90,358.00,363.00,363.00,0.00,0.00,359.38,"22,880.00",362.00,"8,222,517.00",119,1.00,8.90,0.28,2.49,1.00,520.00,310.00
17,BHL,51.90,270.00,275.00,255.50,267.30,267.30,0.00,0.00,265.43,"6,960.00",265.20,"1,847,402.80",162,2.10,19.50,0.79,7.63,0.70,397.00,104.70
18,BNHC,58.26,355.00,398.20,354.80,389.00,389.00,0.00,0.00,369.31,"14,458.00",362.00,"5,339,451.60",105,27.00,43.40,7.46,12.23,5.06,744.00,246.70
19,BNT,45.66,"14,474.60","14,474.60","13,622.00","14,469.00","14,469.00",0.00,0.00,"13,817.75",330.00,"14,770.00","4,559,858.00",17,-301.00,852.60,-2.04,6.26,4.50,"17,670.00","11,396.00"
20,BOKL,45.59,208.00,212.00,207.00,207.00,207.00,0.00,0.00,208.51,"30,558.00",208.90,"6,371,721.30",168,-1.90,5.00,-0.91,2.42,-0.73,330.00,195.20
