S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,461.00,478.00,457.00,461.00,461.00,0.00,0.00,464.60,"13,689.00",461.00,"6,359,865.00",69,0.00,21.00,0.00,4.60,-0.78,0.00,0.00
2,AHPC,-,275.00,285.00,278.00,282.00,282.00,0.00,0.00,280.78,"3,195.00",275.00,"897,094.00",16,7.00,7.00,0.00,2.52,0.43,0.00,0.00
3,AKPL,-,444.00,457.00,436.00,438.00,438.00,0.00,0.00,441.62,"24,825.00",444.00,"10,963,261.00",423,-6.00,21.00,0.00,4.82,-0.83,0.00,0.00
4,ALICL,-,"1,594.00","1,600.00","1,575.00","1,575.00","1,575.00",0.00,0.00,"1,583.51","5,939.00","1,594.00","9,404,474.00",31,-19.00,25.00,0.00,1.59,-0.54,0.00,0.00
5,API,-,560.00,572.00,555.00,572.00,572.00,0.00,0.00,562.13,704.00,560.00,"395,743.00",33,12.00,17.00,0.00,3.06,1.72,0.00,0.00
6,ARUN,-,216.00,226.00,218.00,218.00,218.00,0.00,0.00,221.88,"4,400.00",216.00,"976,290.00",36,2.00,8.00,0.00,3.67,-1.78,0.00,0.00
7,BARUN,-,270.00,275.00,270.00,275.00,275.00,0.00,0.00,273.21,140.00,270.00,"38,250.00",14,5.00,5.00,0.00,1.85,0.65,0.00,0.00
8,BHBL,-,300.00,330.00,300.00,330.00,330.00,0.00,0.00,327.37,"5,272.00",300.00,"1,725,904.00",35,30.00,30.00,0.00,10.00,0.80,0.00,0.00
9,BNT,-,"3,920.00","3,995.00","3,890.00","3,890.00","3,890.00",0.00,0.00,"3,909.65","3,671.00","3,920.00","14,352,315.00",13,-30.00,105.00,0.00,2.70,-0.51,0.00,0.00
10,BOKL,-,510.00,524.00,505.00,508.00,508.00,0.00,0.00,512.90,"20,443.00",510.00,"10,485,177.00",78,-2.00,19.00,0.00,3.76,-0.96,0.00,0.00
11,BPCL,-,690.00,680.00,667.00,679.00,679.00,0.00,0.00,671.82,"3,977.00",690.00,"2,671,836.00",20,-11.00,13.00,0.00,1.95,1.06,0.00,0.00
12,CBBL,-,"1,614.00","1,678.00","1,605.00","1,605.00","1,605.00",0.00,0.00,"1,625.39","3,905.00","1,614.00","6,347,151.00",42,-9.00,73.00,0.00,4.55,-1.27,0.00,0.00
13,CBL,-,271.00,276.00,266.00,266.00,266.00,0.00,0.00,270.07,"33,129.00",271.00,"8,947,088.00",122,-5.00,10.00,0.00,3.76,-1.53,0.00,0.00
14,CCBL,-,377.00,389.00,375.00,378.00,378.00,0.00,0.00,380.51,"12,028.00",377.00,"4,576,769.00",69,1.00,14.00,0.00,3.73,-0.66,0.00,0.00
15,CHCL,-,857.00,860.00,840.00,848.00,848.00,0.00,0.00,849.62,"4,891.00",857.00,"4,155,505.00",44,-9.00,20.00,0.00,2.38,-0.19,0.00,0.00
16,CIT,-,"3,950.00","4,030.00","3,952.00","4,000.00","4,000.00",0.00,0.00,"4,000.96","1,427.00","3,950.00","5,709,365.00",23,50.00,78.00,0.00,1.97,-0.02,0.00,0.00
17,CZBIL,-,405.00,421.00,400.00,408.00,408.00,0.00,0.00,405.47,"38,983.00",405.00,"15,806,296.00",131,3.00,21.00,0.00,5.25,0.62,0.00,0.00
18,DBBL,-,278.00,283.00,277.00,277.00,277.00,0.00,0.00,278.58,"5,688.00",278.00,"1,584,544.00",21,-1.00,6.00,0.00,2.17,-0.57,0.00,0.00
19,DDBL,-,"1,530.00","1,560.00","1,530.00","1,530.00","1,530.00",0.00,0.00,"1,541.10",860.00,"1,530.00","1,325,350.00",17,0.00,30.00,0.00,1.96,-0.73,0.00,0.00
20,DHPL,-,224.00,227.00,221.00,227.00,227.00,0.00,0.00,224.33,116.00,224.00,"26,022.00",11,3.00,6.00,0.00,2.71,1.18,0.00,0.00
21,EBL,-,"1,860.00","1,886.00","1,790.00","1,801.00","1,801.00",0.00,0.00,"1,820.39","16,393.00","1,860.00","29,841,700.00",172,-59.00,96.00,0.00,5.36,-1.08,0.00,0.00
22,EDBL,-,640.00,640.00,628.00,628.00,628.00,0.00,0.00,628.67,179.00,640.00,"112,532.00",3,-12.00,12.00,0.00,1.91,-0.11,0.00,0.00
23,EIC,-,"2,276.00","2,295.00","2,231.00","2,231.00","2,231.00",0.00,0.00,"2,258.57","2,822.00","2,276.00","6,373,694.00",24,-45.00,64.00,0.00,2.87,-1.24,0.00,0.00
24,FMDBL,-,"1,085.00","1,125.00","1,070.00","1,071.00","1,071.00",0.00,0.00,"1,081.30","9,175.00","1,085.00","9,920,955.00",59,-14.00,55.00,0.00,5.14,-0.96,0.00,0.00
25,GBBL,-,328.00,334.00,322.00,322.00,322.00,0.00,0.00,329.32,"5,763.00",328.00,"1,897,857.00",34,-6.00,12.00,0.00,3.73,-2.27,0.00,0.00
26,GBIME,-,412.00,414.00,405.00,410.00,410.00,0.00,0.00,408.25,"25,407.00",412.00,"10,372,381.00",69,-2.00,9.00,0.00,2.22,0.43,0.00,0.00
27,GFCL,-,345.00,346.00,338.00,343.00,343.00,0.00,0.00,340.92,"3,210.00",345.00,"1,094,360.00",15,-2.00,8.00,0.00,2.37,0.61,0.00,0.00
28,GIMES1,-,10.05,10.05,10.05,10.05,10.05,0.00,0.00,10.05,"3,500.00",10.05,"35,175.00",3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,GLICL,-,"1,280.00","1,300.00","1,272.00","1,278.00","1,278.00",0.00,0.00,"1,281.41","7,917.00","1,280.00","10,144,937.00",51,-2.00,28.00,0.00,2.20,-0.27,0.00,0.00
30,GMFIL,-,285.00,300.00,281.00,290.00,290.00,0.00,0.00,286.11,"8,500.00",285.00,"2,431,900.00",21,5.00,19.00,0.00,6.76,1.34,0.00,0.00
31,GRDBL,-,640.00,695.00,652.00,695.00,695.00,0.00,0.00,685.60,"1,166.00",640.00,"799,413.00",23,55.00,43.00,0.00,6.60,1.35,0.00,0.00
32,GUFL,-,227.00,245.00,223.00,227.00,227.00,0.00,0.00,229.76,"13,244.00",227.00,"3,042,924.00",54,0.00,22.00,0.00,9.87,-1.22,0.00,0.00
33,HAMRO,-,300.00,304.00,294.00,295.00,295.00,0.00,0.00,296.84,"1,620.00",300.00,"480,880.00",10,-5.00,10.00,0.00,3.40,-0.62,0.00,0.00
34,HBL,-,990.00,999.00,980.00,990.00,990.00,0.00,0.00,984.48,"1,682.00",990.00,"1,655,900.00",16,0.00,19.00,0.00,1.94,0.56,0.00,0.00
35,HGI,-,"1,660.00","1,700.00","1,645.00","1,650.00","1,650.00",0.00,0.00,"1,656.30","7,635.00","1,660.00","12,645,847.00",62,-10.00,55.00,0.00,3.34,-0.38,0.00,0.00
36,HIDCL,-,211.00,216.00,210.00,212.00,212.00,0.00,0.00,212.04,"7,383.00",211.00,"1,565,508.00",122,1.00,6.00,0.00,2.86,-0.02,0.00,0.00
37,ICFC,-,334.00,339.00,324.00,326.00,326.00,0.00,0.00,331.58,"5,742.00",334.00,"1,903,905.00",30,-8.00,15.00,0.00,4.63,-1.71,0.00,0.00
38,ILFCM,-,"1,407.00","1,448.00","1,370.00","1,405.00","1,405.00",0.00,0.00,"1,414.69","4,262.00","1,407.00","6,029,405.00",91,-2.00,78.00,0.00,5.69,-0.69,0.00,0.00
