S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,285.00,290.00,280.00,290.00,290.00,0.00,0.00,280.47,320.00,285.00,"89,750.00",4,5.00,10.00,0.00,3.57,3.29,0.00,0.00
2,ADBL,-,480.00,471.00,467.00,467.00,467.00,0.00,0.00,469.33,120.00,480.00,"56,320.00",3,-13.00,4.00,0.00,0.86,-0.50,0.00,0.00
3,AHPC,-,310.00,313.00,305.00,308.00,308.00,0.00,0.00,308.60,"9,298.00",310.00,"2,869,341.00",33,-2.00,8.00,0.00,2.62,-0.19,0.00,0.00
4,ALDBL,-,393.00,390.00,373.00,373.00,373.00,0.00,0.00,376.37,386.00,393.00,"145,277.00",6,-20.00,17.00,0.00,4.56,-0.90,0.00,0.00
5,ALICL,-,"1,015.00","1,010.00",995.00,"1,005.00","1,005.00",0.00,0.00,"1,002.97","6,343.00","1,015.00","6,361,809.00",22,-10.00,15.00,0.00,1.51,0.20,0.00,0.00
6,APEX,-,132.00,134.00,128.00,128.00,128.00,0.00,0.00,128.57,"2,866.00",132.00,"368,476.00",17,-4.00,6.00,0.00,4.69,-0.44,0.00,0.00
7,ARDBL,-,196.00,196.00,187.00,195.00,195.00,0.00,0.00,193.57,"1,535.00",196.00,"297,126.00",18,-1.00,9.00,0.00,4.81,0.73,0.00,0.00
8,BFCL,-,142.00,140.00,134.00,138.00,138.00,0.00,0.00,135.40,"1,750.00",142.00,"236,956.00",16,-4.00,6.00,0.00,4.48,1.88,0.00,0.00
9,BGDBL,-,314.00,308.00,308.00,308.00,308.00,0.00,0.00,308.00,100.00,314.00,"30,800.00",1,-6.00,0.00,0.00,0.00,0.00,0.00,0.00
10,BHBL,-,343.00,343.00,335.00,335.00,335.00,0.00,0.00,339.05,"2,541.00",343.00,"861,528.00",11,-8.00,8.00,0.00,2.39,-1.21,0.00,0.00
11,BLDBL,-,350.00,354.00,345.00,345.00,345.00,0.00,0.00,347.90,"3,661.00",350.00,"1,273,663.00",14,-5.00,9.00,0.00,2.61,-0.84,0.00,0.00
12,BOK,-,615.00,624.00,600.00,612.00,612.00,0.00,0.00,610.70,"10,737.00",615.00,"6,557,084.00",52,-3.00,24.00,0.00,4.00,0.21,0.00,0.00
13,BPCL,-,679.00,666.00,628.00,628.00,628.00,0.00,0.00,649.43,350.00,679.00,"227,300.00",4,-51.00,38.00,0.00,6.05,-3.41,0.00,0.00
14,BUDBL,-,226.00,226.00,220.00,222.00,222.00,0.00,0.00,221.95,"2,658.00",226.00,"589,954.00",8,-4.00,6.00,0.00,2.73,0.02,0.00,0.00
15,CBBL,-,"1,470.00","1,455.00","1,421.00","1,421.00","1,421.00",0.00,0.00,"1,436.53",531.00,"1,470.00","762,800.00",3,-49.00,34.00,0.00,2.39,-1.09,0.00,0.00
16,CBL,-,290.00,290.00,282.00,289.00,289.00,0.00,0.00,286.14,"11,761.00",290.00,"3,365,262.00",46,-1.00,8.00,0.00,2.84,0.99,0.00,0.00
17,CCBL,-,340.00,341.00,333.00,340.00,340.00,0.00,0.00,335.97,"12,070.00",340.00,"4,055,118.00",53,0.00,8.00,0.00,2.40,1.19,0.00,0.00
18,CFCL,-,208.00,216.00,208.00,216.00,216.00,0.00,0.00,211.53,"10,486.00",208.00,"2,218,066.00",30,8.00,8.00,0.00,3.85,2.07,0.00,0.00
19,CHCL,-,"1,580.00","1,580.00","1,564.00","1,568.00","1,568.00",0.00,0.00,"1,568.08","6,964.00","1,580.00","10,920,082.00",39,-12.00,16.00,0.00,1.02,0.00,0.00,0.00
20,CNDBL,-,182.00,188.00,182.00,188.00,188.00,0.00,0.00,184.82,500.00,182.00,"92,410.00",5,6.00,6.00,0.00,3.30,1.69,0.00,0.00
21,CSDBL,-,371.00,375.00,370.00,375.00,375.00,0.00,0.00,373.37,49.00,371.00,"18,295.00",2,4.00,5.00,0.00,1.35,0.44,0.00,0.00
22,CZBIL,-,535.00,540.00,526.00,535.00,535.00,0.00,0.00,535.04,"21,519.00",535.00,"11,513,565.00",85,0.00,14.00,0.00,2.66,-0.01,0.00,0.00
23,DDBL,-,"1,367.00","1,355.00","1,342.00","1,355.00","1,355.00",0.00,0.00,"1,346.84",269.00,"1,367.00","362,300.00",3,-12.00,13.00,0.00,0.97,0.60,0.00,0.00
24,EBL,-,"2,553.00","2,540.00","2,500.00","2,520.00","2,520.00",0.00,0.00,"2,515.96","12,392.00","2,553.00","31,177,738.00",109,-33.00,40.00,0.00,1.60,0.16,0.00,0.00
25,EFL,-,216.00,212.00,212.00,212.00,212.00,0.00,0.00,212.00,100.00,216.00,"21,200.00",1,-4.00,0.00,0.00,0.00,0.00,0.00,0.00
26,EIC,-,788.00,803.00,787.00,787.00,787.00,0.00,0.00,793.95,210.00,788.00,"166,730.00",4,-1.00,16.00,0.00,2.03,-0.88,0.00,0.00
