S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,52.34,375.00,378.00,372.00,375.00,375.00,0.00,0.00,374.69,"9,391.00",375.00,"3,518,686.00",68,0.00,6.00,0.00,1.61,0.08,475.00,313.00
2,AHPC,50.36,93.00,94.00,91.00,92.00,92.00,0.00,0.00,92.84,"45,595.00",92.00,"4,233,110.00",25,0.00,3.00,0.00,3.30,-0.91,123.00,88.00
3,AKJCL,50.66,48.50,49.98,48.10,49.00,49.00,0.00,0.00,48.75,340.00,48.10,"16,576.00",21,1.00,1.88,1.87,3.91,0.50,74.00,46.40
4,AKPL,53.58,120.00,120.00,115.00,117.00,117.00,0.00,0.00,116.85,"14,709.00",118.00,"1,718,687.00",64,-1.00,5.00,-0.85,4.35,0.13,189.00,100.00
5,ALBSL,54.77,773.00,795.00,762.00,771.00,771.00,0.00,0.00,780.14,"3,793.00",772.00,"2,959,075.00",82,-1.00,33.00,-0.13,4.33,-1.19,936.00,373.00
6,ALICL,56.22,606.00,615.00,601.00,607.00,607.00,0.00,0.00,606.78,"21,586.00",606.00,"13,098,000.00",97,1.00,14.00,0.17,2.33,0.04,720.00,304.00
7,API,44.20,107.00,107.00,105.00,107.00,107.00,0.00,0.00,105.65,"4,164.00",107.00,"439,935.00",44,0.00,2.00,0.00,1.90,1.26,162.00,100.00
8,BBC,48.63,"1,608.00","1,608.00","1,580.00","1,580.00","1,580.00",0.00,0.00,"1,588.00",140.00,"1,640.00","222,320.00",3,-60.00,28.00,-3.66,1.77,-0.51,"2,289.00","1,310.00"
9,BFC,43.69,88.00,88.00,88.00,88.00,88.00,0.00,0.00,88.00,100.00,89.00,"8,800.00",3,-1.00,0.00,-1.12,0.00,0.00,116.00,81.00
10,BOKL,50.32,215.00,217.00,213.00,216.00,216.00,0.00,0.00,214.97,"15,159.00",214.00,"3,258,665.00",74,2.00,4.00,0.93,1.88,0.48,296.00,196.00
11,BPCL,39.29,353.00,360.00,352.00,357.00,357.00,0.00,0.00,355.35,"8,366.00",353.00,"2,972,892.00",97,4.00,8.00,1.13,2.27,0.46,429.00,300.00
12,CBBL,59.37,"1,087.00","1,116.00","1,085.00","1,116.00","1,116.00",0.00,0.00,"1,099.25","37,390.00","1,087.00","41,100,888.00",194,29.00,31.00,2.67,2.86,1.50,"1,343.00",751.00
13,CBL,44.56,134.00,139.00,134.00,137.00,137.00,0.00,0.00,136.60,"22,894.00",136.00,"3,127,393.00",71,1.00,5.00,0.74,3.73,0.29,167.00,125.00
14,CCBL,48.58,163.00,165.00,163.00,165.00,165.00,0.00,0.00,163.93,"13,387.00",162.00,"2,194,519.00",88,3.00,2.00,1.85,1.23,0.65,210.00,136.00
15,CFCL,41.61,117.00,119.00,117.00,119.00,119.00,0.00,0.00,118.18,283.00,118.00,"33,444.00",4,1.00,2.00,0.85,1.71,0.69,163.00,105.00
16,CHCL,53.35,382.00,393.00,382.00,393.00,393.00,0.00,0.00,384.84,"5,449.00",382.00,"2,096,975.00",49,11.00,11.00,2.88,2.88,2.08,544.00,330.00
17,CHL,58.97,78.00,80.00,78.00,80.00,80.00,0.00,0.00,79.92,"2,144.00",79.00,"171,352.00",14,1.00,2.00,1.27,2.56,0.10,103.00,74.00
18,CIT,48.16,"2,451.00","2,465.00","2,430.00","2,430.00","2,430.00",0.00,0.00,"2,446.05","3,123.00","2,450.00","7,639,026.00",61,-20.00,35.00,-0.82,1.44,-0.66,"3,164.00","1,678.00"
19,CLBSL,58.29,701.00,745.00,701.00,733.00,733.00,0.00,0.00,730.88,"8,218.00",688.00,"6,006,401.00",102,45.00,44.00,6.54,6.28,0.29,"1,549.00",438.00
20,CMF1,59.00,9.89,9.97,9.70,9.77,9.77,0.00,0.00,9.78,"19,200.00",9.70,"187,801.00",10,0.00,0.27,0.72,2.78,-0.12,10.50,8.47
21,CZBIL,51.17,184.00,186.00,183.00,186.00,186.00,0.00,0.00,184.61,"21,912.00",185.00,"4,045,241.00",119,1.00,3.00,0.54,1.64,0.75,240.00,164.00
22,DDBL,60.19,880.00,881.00,863.00,880.00,880.00,0.00,0.00,871.79,"15,921.00",865.00,"13,879,752.00",102,15.00,18.00,1.73,2.09,0.93,"1,100.00",704.00
23,DHPL,46.76,48.00,48.00,47.05,47.99,47.99,0.00,0.00,47.17,"1,031.00",48.00,"48,631.00",8,0.00,0.95,-0.02,2.02,1.71,81.00,47.05
24,EBL,51.45,652.00,669.00,652.00,663.00,663.00,0.00,0.00,663.09,"14,617.00",663.00,"9,692,314.00",93,0.00,17.00,0.00,2.61,-0.01,932.00,517.00
25,EBLCP,56.14,670.00,670.00,670.00,670.00,670.00,0.00,0.00,669.84,226.00,664.00,"151,384.00",2,6.00,0.00,0.90,0.00,0.02,740.00,566.00
26,EDBL,48.72,300.00,300.00,300.00,300.00,300.00,0.00,0.00,300.00,550.00,295.00,"165,000.00",5,5.00,0.00,1.69,0.00,0.00,442.00,257.00
27,EIC,42.85,407.00,415.00,407.00,413.00,413.00,0.00,0.00,409.80,"6,256.00",407.00,"2,563,704.00",51,6.00,8.00,1.47,1.97,0.78,499.00,204.00
28,FMDBL,58.45,545.00,560.00,540.00,558.00,558.00,0.00,0.00,548.02,"25,794.00",540.00,"14,135,731.00",171,18.00,20.00,3.33,3.70,1.79,704.00,298.00
29,FMDBLP,38.41,275.00,275.00,275.00,275.00,275.00,0.00,0.00,275.00,500.00,132.00,"137,500.00",1,143.00,0.00,108.33,0.00,0.00,275.00,132.00
30,FOWAD,51.03,"1,599.00","1,610.00","1,570.00","1,581.00","1,581.00",0.00,0.00,"1,595.16","2,552.00","1,590.00","4,070,847.00",43,-9.00,40.00,-0.57,2.55,-0.90,"2,000.00","1,055.00"
31,GBBL,51.11,219.00,223.00,219.00,221.00,221.00,0.00,0.00,220.30,"10,326.00",220.00,"2,274,796.00",38,1.00,4.00,0.45,1.83,0.32,298.00,183.00
32,GBBLPO,53.89,115.00,115.00,115.00,115.00,115.00,0.00,0.00,115.00,"122,509.00",115.00,"14,088,535.00",7,0.00,0.00,0.00,0.00,0.00,115.00,115.00
33,GBIME,50.79,245.00,245.00,238.00,241.00,241.00,0.00,0.00,240.04,"76,311.00",241.00,"18,317,696.00",269,0.00,7.00,0.00,2.94,0.40,331.00,144.48
34,GBLBS,56.96,536.00,540.00,525.00,540.00,540.00,0.00,0.00,531.53,"22,231.00",526.00,"11,816,530.00",212,14.00,15.00,2.66,2.86,1.57,663.00,282.00
35,GFCL,49.22,138.00,146.00,138.00,141.00,141.00,0.00,0.00,143.35,"6,741.00",145.00,"966,346.00",16,-4.00,8.00,-2.76,5.80,-1.67,177.00,124.00
36,GGBSL,61.63,794.00,873.00,794.00,873.00,873.00,0.00,0.00,856.72,"1,625.00",794.00,"1,392,175.00",43,79.00,79.00,9.95,9.95,1.86,"1,013.00",231.00
37,GHL,48.02,51.00,52.00,51.00,51.00,51.00,0.00,0.00,51.80,400.00,52.00,"20,720.00",17,-1.00,1.00,-1.92,1.96,-1.57,93.00,51.00
38,GILB,56.44,"1,305.00","1,334.00","1,300.00","1,315.00","1,315.00",0.00,0.00,"1,315.60","3,928.00","1,320.00","5,167,685.00",45,-5.00,34.00,-0.38,2.62,-0.05,"1,690.00",664.00
39,GIMES1,45.37,8.00,8.12,8.00,8.10,8.10,0.00,0.00,8.08,"75,944.00",8.00,"613,952.00",9,0.00,0.12,1.25,1.50,0.19,9.50,6.50
40,GLBSL,60.68,730.00,788.00,730.00,788.00,788.00,0.00,0.00,781.67,"1,725.00",717.00,"1,348,389.00",47,71.00,58.00,9.90,7.95,0.80,888.00,371.00
41,GLICL,36.36,477.00,479.00,470.00,470.00,470.00,0.00,0.00,473.14,"5,254.00",481.00,"2,485,902.00",63,-11.00,9.00,-2.29,1.91,-0.67,"1,077.00",339.00
42,GMFBS,58.86,820.00,887.00,804.00,879.00,879.00,0.00,0.00,842.40,"2,038.00",835.00,"1,716,803.00",52,44.00,83.00,5.27,10.32,4.16,"1,070.00",432.00
43,GMFIL,55.94,124.00,125.00,121.00,125.00,125.00,0.00,0.00,121.86,"5,404.00",125.00,"658,550.00",14,0.00,4.00,0.00,3.31,2.51,155.00,110.00
44,GRDBL,47.67,107.00,109.00,107.00,109.00,109.00,0.00,0.00,108.81,376.00,108.00,"40,914.00",4,1.00,2.00,0.93,1.87,0.17,146.00,98.00
45,GUFL,48.42,121.00,121.00,119.00,119.00,119.00,0.00,0.00,120.11,191.00,120.00,"22,941.00",4,-1.00,2.00,-0.83,1.68,-0.93,147.00,104.00
46,HBL,50.18,515.00,516.00,508.00,512.00,512.00,0.00,0.00,512.44,"7,693.00",511.00,"3,942,187.00",50,1.00,8.00,0.20,1.57,-0.09,735.00,452.00
47,HDHPC,61.23,102.00,107.00,98.00,102.00,102.00,0.00,0.00,101.31,"3,800.00",98.00,"384,980.00",63,4.00,9.00,4.08,9.18,0.68,130.00,82.00
48,HDL,54.50,"1,669.00","1,669.00","1,601.00","1,606.00","1,606.00",0.00,0.00,"1,630.39","22,438.00","1,637.00","36,582,616.00",224,-31.00,68.00,-1.89,4.25,-1.52,"1,989.00","1,123.00"
49,HGI,59.31,418.00,420.00,414.00,419.00,419.00,0.00,0.00,416.13,"16,977.00",420.00,"7,064,580.00",46,-1.00,6.00,-0.24,1.45,0.69,503.00,232.00
