S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,182.00,188.00,183.00,188.00,188.00,0.00,0.00,183.98,"1,377.00",182.00,"253,345.00",3,6.00,5.00,0.00,2.73,2.14,0.00,0.00
2,ADBL,-,477.00,478.00,472.00,478.00,478.00,0.00,0.00,475.06,"5,706.00",477.00,"2,710,690.00",41,1.00,6.00,0.00,1.27,0.62,0.00,0.00
3,AHPC,-,470.00,478.00,466.00,472.00,472.00,0.00,0.00,470.19,"4,895.00",470.00,"2,301,601.00",19,2.00,12.00,0.00,2.58,0.38,0.00,0.00
4,ALICL,-,905.00,908.00,890.00,905.00,905.00,0.00,0.00,901.95,"2,448.00",905.00,"2,207,971.00",22,0.00,18.00,0.00,2.02,0.34,0.00,0.00
5,APEX,-,121.00,120.00,118.00,120.00,120.00,0.00,0.00,119.76,339.00,121.00,"40,600.00",3,-1.00,2.00,0.00,1.69,0.20,0.00,0.00
6,ARDBL,-,130.00,128.00,126.00,128.00,128.00,0.00,0.00,126.96,270.00,130.00,"34,280.00",10,-2.00,2.00,0.00,1.59,0.81,0.00,0.00
7,BBBL,-,142.00,153.00,144.00,153.00,153.00,0.00,0.00,148.20,50.00,142.00,"7,410.00",5,11.00,9.00,0.00,6.25,3.14,0.00,0.00
8,BHBL,-,109.00,110.00,110.00,110.00,110.00,0.00,0.00,110.00,110.00,109.00,"12,100.00",1,1.00,0.00,0.00,0.00,0.00,0.00,0.00
9,BOK,-,555.00,555.00,545.00,545.00,545.00,0.00,0.00,548.66,"7,957.00",555.00,"4,365,715.00",38,-10.00,10.00,0.00,1.83,-0.67,0.00,0.00
10,BPCL,-,789.00,804.00,790.00,790.00,790.00,0.00,0.00,795.41,"1,009.00",789.00,"802,570.00",5,1.00,14.00,0.00,1.77,-0.68,0.00,0.00
11,BSBL,-,228.00,226.00,218.00,226.00,226.00,0.00,0.00,224.14,688.00,228.00,"154,210.00",7,-2.00,8.00,0.00,3.67,0.82,0.00,0.00
12,BUDBL,-,156.00,153.00,144.00,144.00,144.00,0.00,0.00,151.71,837.00,156.00,"126,981.00",5,-12.00,9.00,0.00,6.25,-5.35,0.00,0.00
13,CDBL,-,382.00,394.00,367.00,370.00,370.00,0.00,0.00,378.07,"1,104.00",382.00,"417,394.00",13,-12.00,27.00,0.00,7.36,-2.18,0.00,0.00
14,CEDBL,-,250.00,255.00,248.00,250.00,250.00,0.00,0.00,250.97,"2,078.00",250.00,"521,512.00",8,0.00,7.00,0.00,2.82,-0.39,0.00,0.00
15,CHCL,-,"1,943.00","1,954.00","1,932.00","1,940.00","1,940.00",0.00,0.00,"1,942.89","17,166.00","1,943.00","33,351,696.00",155,-3.00,22.00,0.00,1.14,-0.15,0.00,0.00
16,CIT,-,"3,366.00","3,366.00","3,365.00","3,366.00","3,366.00",0.00,0.00,"3,365.78",96.00,"3,366.00","323,115.00",2,0.00,1.00,0.00,0.03,0.01,0.00,0.00
17,CNDBL,-,104.00,106.00,106.00,106.00,106.00,0.00,0.00,106.00,480.00,104.00,"50,880.00",5,2.00,0.00,0.00,0.00,0.00,0.00,0.00
18,CSDBL,-,196.00,193.00,187.00,187.00,187.00,0.00,0.00,190.00,42.00,196.00,"7,980.00",3,-9.00,6.00,0.00,3.21,-1.60,0.00,0.00
19,CZBIL,-,425.00,428.00,410.00,410.00,410.00,0.00,0.00,416.16,"82,609.00",425.00,"34,378,152.00",108,-15.00,18.00,0.00,4.39,-1.50,0.00,0.00
20,DDBL,-,980.00,981.00,980.00,980.00,980.00,0.00,0.00,980.88,136.00,980.00,"133,400.00",2,0.00,1.00,0.00,0.10,-0.09,0.00,0.00
21,EBL,-,"2,245.00","2,245.00","2,225.00","2,225.00","2,225.00",0.00,0.00,"2,231.28","6,337.00","2,245.00","14,139,624.00",43,-20.00,20.00,0.00,0.90,-0.28,0.00,0.00
22,EBLCP,-,759.00,790.00,774.00,775.00,775.00,0.00,0.00,785.41,"12,651.00",759.00,"9,936,168.00",10,16.00,16.00,0.00,2.07,-1.34,0.00,0.00
23,FMDBL,-,626.00,650.00,625.00,625.00,625.00,0.00,0.00,637.94,"2,755.00",626.00,"1,757,530.00",9,-1.00,25.00,0.00,4.00,-2.07,0.00,0.00
24,GBBL,-,252.00,257.00,255.00,257.00,257.00,0.00,0.00,256.13,"1,467.00",252.00,"375,737.00",15,5.00,2.00,0.00,0.78,0.34,0.00,0.00
25,GLICL,-,472.00,470.00,455.00,460.00,460.00,0.00,0.00,458.29,"25,653.00",472.00,"11,756,391.00",33,-12.00,15.00,0.00,3.30,0.37,0.00,0.00
26,GRAND,-,270.00,272.00,268.00,270.00,270.00,0.00,0.00,269.96,"2,392.00",270.00,"645,743.00",13,0.00,4.00,0.00,1.49,0.02,0.00,0.00
27,HAMA,-,110.00,112.00,108.00,108.00,108.00,0.00,0.00,109.48,710.00,110.00,"77,730.00",7,-2.00,4.00,0.00,3.70,-1.37,0.00,0.00
28,HBL,-,835.00,835.00,820.00,820.00,820.00,0.00,0.00,822.12,"1,013.00",835.00,"832,810.00",3,-15.00,15.00,0.00,1.83,-0.26,0.00,0.00
29,HGI,-,400.00,409.00,402.00,408.00,408.00,0.00,0.00,405.08,"2,832.00",400.00,"1,147,186.00",8,8.00,7.00,0.00,1.74,0.72,0.00,0.00
30,IDBL,-,122.00,122.00,118.00,120.00,120.00,0.00,0.00,120.30,"18,150.00",122.00,"2,183,449.00",31,-2.00,4.00,0.00,3.39,-0.25,0.00,0.00
31,ILFC,-,228.00,225.00,221.00,221.00,221.00,0.00,0.00,221.40,"2,854.00",228.00,"631,886.00",4,-7.00,4.00,0.00,1.81,-0.18,0.00,0.00
32,INDB,-,150.00,159.00,153.00,159.00,159.00,0.00,0.00,157.68,250.00,150.00,"39,420.00",3,9.00,6.00,0.00,3.92,0.83,0.00,0.00
33,INDBL,-,149.00,153.00,147.00,151.00,151.00,0.00,0.00,149.92,"8,054.00",149.00,"1,207,446.00",16,2.00,6.00,0.00,4.08,0.72,0.00,0.00
34,JBBL,-,145.00,148.00,143.00,148.00,148.00,0.00,0.00,145.43,"4,350.00",145.00,"632,600.00",16,3.00,5.00,0.00,3.50,1.74,0.00,0.00
35,JBNL,-,282.00,284.00,275.00,280.00,280.00,0.00,0.00,278.61,"8,436.00",282.00,"2,350,342.00",26,-2.00,9.00,0.00,3.27,0.50,0.00,0.00
36,JEFL,-,125.00,129.00,127.00,129.00,129.00,0.00,0.00,128.94,"4,180.00",125.00,"538,970.00",4,4.00,2.00,0.00,1.57,0.05,0.00,0.00
37,KAFIL,-,164.00,166.00,166.00,166.00,166.00,0.00,0.00,166.00,69.00,164.00,"11,454.00",1,2.00,0.00,0.00,0.00,0.00,0.00,0.00
38,KBBL,-,340.00,352.00,345.00,345.00,345.00,0.00,0.00,347.80,"2,489.00",340.00,"865,668.00",8,5.00,7.00,0.00,2.03,-0.81,0.00,0.00
39,KBL,-,425.00,423.00,417.00,423.00,423.00,0.00,0.00,418.00,900.00,425.00,"376,200.00",3,-2.00,6.00,0.00,1.44,1.18,0.00,0.00
40,KDBL,-,96.00,96.00,94.00,95.00,95.00,0.00,0.00,95.15,573.00,96.00,"54,520.00",12,-1.00,2.00,0.00,2.13,-0.16,0.00,0.00
41,KKBL,-,199.00,214.00,202.00,214.00,214.00,0.00,0.00,208.00,40.00,199.00,"8,320.00",4,15.00,12.00,0.00,5.94,2.80,0.00,0.00
42,KMBL,-,260.00,265.00,261.00,261.00,261.00,0.00,0.00,262.53,"1,280.00",260.00,"336,040.00",7,1.00,4.00,0.00,1.53,-0.59,0.00,0.00
43,KMCDB,-,712.00,723.00,710.00,715.00,715.00,0.00,0.00,712.88,240.00,712.00,"171,090.00",23,3.00,13.00,0.00,1.83,0.30,0.00,0.00
44,KRBL,-,103.00,104.00,102.00,104.00,104.00,0.00,0.00,102.25,200.00,103.00,"20,450.00",6,1.00,2.00,0.00,1.96,1.68,0.00,0.00
45,LBL,-,470.00,479.00,471.00,472.00,472.00,0.00,0.00,473.67,"1,799.00",470.00,"852,133.00",5,2.00,8.00,0.00,1.70,-0.35,0.00,0.00
46,LFLC,-,201.00,200.00,193.00,193.00,193.00,0.00,0.00,196.59,"1,063.00",201.00,"208,972.00",7,-8.00,7.00,0.00,3.63,-1.86,0.00,0.00
47,LGIL,-,350.00,346.00,340.00,341.00,341.00,0.00,0.00,343.51,909.00,350.00,"312,254.00",6,-9.00,6.00,0.00,1.76,-0.74,0.00,0.00
48,LICN,-,"3,055.00","3,030.00","2,990.00","3,005.00","3,005.00",0.00,0.00,"3,001.27","2,747.00","3,055.00","8,244,500.00",28,-50.00,40.00,0.00,1.34,0.12,0.00,0.00
49,MBBL,-,148.00,157.00,150.00,157.00,157.00,0.00,0.00,153.90,480.00,148.00,"73,870.00",6,9.00,7.00,0.00,4.67,1.98,0.00,0.00
