S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,125.00,127.00,127.00,127.00,127.00,0.00,0.00,127.00,222.00,125.00,"28,194.00",1,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2,ADBL,-,207.00,207.00,200.00,201.00,201.00,0.00,0.00,204.12,"4,800.00",207.00,"979,797.00",45,-6.00,7.00,0.00,3.50,-1.55,0.00,0.00
3,AHPC,-,331.00,326.00,302.00,326.00,326.00,0.00,0.00,306.88,"7,511.00",331.00,"2,304,950.00",13,-5.00,24.00,0.00,7.95,5.87,0.00,0.00
4,ALDBL,-,91.00,90.00,90.00,90.00,90.00,0.00,0.00,90.00,20.00,91.00,"1,800.00",1,-1.00,0.00,0.00,0.00,0.00,0.00,0.00
5,ALICL,-,242.00,238.00,238.00,238.00,238.00,0.00,0.00,238.00,486.00,242.00,"115,668.00",2,-4.00,0.00,0.00,0.00,0.00,0.00,0.00
6,BNT,-,"1,018.00","1,038.00","1,018.00","1,038.00","1,038.00",0.00,0.00,"1,028.00",100.00,"1,018.00","102,800.00",2,20.00,20.00,0.00,1.96,0.96,0.00,0.00
7,BOK,-,635.00,623.00,603.00,623.00,623.00,0.00,0.00,612.22,"15,768.00",635.00,"9,653,524.00",97,-12.00,20.00,0.00,3.32,1.73,0.00,0.00
8,BPCL,-,781.00,777.00,733.00,733.00,733.00,0.00,0.00,769.83,"1,149.00",781.00,"884,538.00",9,-48.00,44.00,0.00,6.00,-5.02,0.00,0.00
9,BSBL,-,149.00,150.00,145.00,147.00,147.00,0.00,0.00,146.01,720.00,149.00,"105,130.00",8,-2.00,5.00,0.00,3.45,0.67,0.00,0.00
10,BUDBL,-,117.00,115.00,115.00,115.00,115.00,0.00,0.00,115.00,30.00,117.00,"3,450.00",1,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
11,CEDBL,-,178.00,180.00,172.00,173.00,173.00,0.00,0.00,176.88,"3,554.00",178.00,"628,638.00",20,-5.00,8.00,0.00,4.65,-2.24,0.00,0.00
12,CHCL,-,"1,118.00","1,118.00","1,102.00","1,118.00","1,118.00",0.00,0.00,"1,109.50","2,446.00","1,118.00","2,713,836.00",25,0.00,16.00,0.00,1.45,0.76,0.00,0.00
13,CZBIL,-,241.00,245.00,237.00,241.00,241.00,0.00,0.00,238.68,"6,458.00",241.00,"1,541,373.00",31,0.00,8.00,0.00,3.38,0.96,0.00,0.00
14,DDBL,-,305.00,312.00,305.00,305.00,305.00,0.00,0.00,306.65,493.00,305.00,"151,178.00",7,0.00,7.00,0.00,2.30,-0.54,0.00,0.00
15,EBL,-,"1,206.00","1,195.00","1,160.00","1,183.00","1,183.00",0.00,0.00,"1,180.30","3,634.00","1,206.00","4,289,209.00",26,-23.00,35.00,0.00,3.02,0.23,0.00,0.00
16,EDBL,-,340.00,336.00,334.00,334.00,334.00,0.00,0.00,335.08,260.00,340.00,"87,120.00",4,-6.00,2.00,0.00,0.60,-0.32,0.00,0.00
17,GBIME,-,380.00,380.00,366.00,370.00,370.00,0.00,0.00,369.54,"9,600.00",380.00,"3,547,576.00",39,-10.00,14.00,0.00,3.83,0.12,0.00,0.00
18,GLICL,-,147.00,149.00,148.00,148.00,148.00,0.00,0.00,148.75,40.00,147.00,"5,950.00",4,1.00,1.00,0.00,0.68,-0.51,0.00,0.00
19,GRAND,-,200.00,197.00,193.00,195.00,195.00,0.00,0.00,194.88,470.00,200.00,"91,594.00",5,-5.00,4.00,0.00,2.07,0.06,0.00,0.00
20,GSDBL,-,91.00,90.00,89.00,89.00,89.00,0.00,0.00,89.30,110.00,91.00,"9,823.00",10,-2.00,1.00,0.00,1.12,-0.34,0.00,0.00
21,HBL,-,851.00,835.00,818.00,831.00,831.00,0.00,0.00,822.54,"2,607.00",851.00,"2,144,371.00",19,-20.00,17.00,0.00,2.08,1.02,0.00,0.00
22,ICFC,-,135.00,139.00,137.00,139.00,139.00,0.00,0.00,137.03,"1,525.00",135.00,"208,975.00",2,4.00,2.00,0.00,1.46,1.42,0.00,0.00
23,ILFC,-,106.00,106.00,104.00,106.00,106.00,0.00,0.00,104.12,"3,011.00",106.00,"313,512.00",8,0.00,2.00,0.00,1.92,1.77,0.00,0.00
24,JBBL,-,92.00,91.00,90.00,90.00,90.00,0.00,0.00,90.65,490.00,92.00,"44,420.00",6,-2.00,1.00,0.00,1.11,-0.73,0.00,0.00
