S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,37.89,425.00,430.00,425.00,427.00,427.00,0.00,0.00,427.50,"35,679.00",425.00,"15,252,712.00",136,2.00,5.00,0.47,1.18,-0.12,451.00,290.00
2,AHPC,34.93,103.00,105.00,103.00,104.00,104.00,0.00,0.00,104.32,"1,033.00",103.00,"107,760.00",10,1.00,2.00,0.97,1.94,-0.31,143.00,96.00
3,AKJCL,36.24,68.00,71.00,68.00,70.00,70.00,0.00,0.00,69.54,280.00,68.00,"19,470.00",19,2.00,3.00,2.94,4.41,0.66,106.00,67.00
4,AKPL,40.92,170.00,173.00,167.00,170.00,170.00,0.00,0.00,170.14,972.00,173.00,"165,375.00",18,-3.00,6.00,-1.73,3.59,-0.08,275.00,146.00
5,ALBSL,58.05,405.00,440.00,397.00,427.00,427.00,0.00,0.00,420.25,"2,240.00",402.00,"941,350.00",99,25.00,43.00,6.22,10.83,1.58,555.00,300.00
6,ALICL,42.61,372.00,372.00,368.00,368.00,368.00,0.00,0.00,369.25,"2,396.00",372.00,"884,724.00",28,-4.00,4.00,-1.08,1.09,-0.34,658.00,368.00
7,API,37.50,135.00,140.00,135.00,138.00,138.00,0.00,0.00,138.23,"11,204.00",135.00,"1,548,722.00",49,3.00,5.00,2.22,3.70,-0.17,282.00,120.00
8,BARUN,34.95,90.00,91.00,90.00,90.00,90.00,0.00,0.00,90.14,70.00,91.00,"6,310.00",7,-1.00,1.00,-1.10,1.11,-0.16,142.00,88.00
9,BFC,34.83,102.00,102.00,101.00,102.00,102.00,0.00,0.00,101.17,430.00,100.00,"43,503.00",6,2.00,1.00,2.00,0.99,0.81,117.00,80.00
10,BOKL,41.01,265.00,267.00,264.00,267.00,267.00,0.00,0.00,265.26,"22,293.00",262.00,"5,913,346.00",90,5.00,3.00,1.91,1.14,0.65,350.00,231.00
11,BPCL,40.82,410.00,410.00,402.00,404.00,404.00,0.00,0.00,403.71,"6,833.00",404.00,"2,758,527.00",47,0.00,8.00,0.00,1.99,0.07,496.00,332.00
12,CBBL,38.42,990.00,990.00,973.00,982.00,982.00,0.00,0.00,975.98,"5,883.00",983.00,"5,741,688.00",24,-1.00,17.00,-0.10,1.75,0.61,"1,120.00",800.00
13,CBL,35.25,156.00,156.00,153.00,153.00,153.00,0.00,0.00,153.38,"59,237.00",155.00,"9,085,502.00",103,-2.00,3.00,-1.29,1.96,-0.25,188.00,142.00
