S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACLBSL,70.19,"1,660.00","1,677.00","1,631.00","1,677.00","1,677.00",0.00,0.00,"1,663.22","17,984.00","1,630.00","29,911,325.00",292,47.00,46.00,2.88,2.82,0.82,"1,938.00",450.00
2,ADBL,68.91,422.00,425.00,421.00,425.00,425.00,0.00,0.00,423.27,"64,623.00",419.00,"27,353,243.00",520,6.00,4.00,1.43,0.95,0.41,576.00,313.00
3,ADBLD83,65.77,"1,070.00","1,075.00","1,070.00","1,075.00","1,075.00",0.00,0.00,"1,071.50",150.00,"1,075.00","160,725.00",5,0.00,5.00,0.00,0.47,0.33,"1,075.00","1,041.00"
4,AHPC,57.08,320.00,320.00,305.00,313.00,313.00,0.00,0.00,310.98,"153,757.00",313.00,"47,815,708.00",806,0.00,15.00,0.00,4.92,0.64,388.00,91.00
5,AIL,72.45,890.00,900.00,860.00,892.00,892.00,0.00,0.00,887.07,"59,861.00",852.00,"53,101,121.00","1,019",40.00,40.00,4.69,4.65,0.55,"1,125.00",291.00
6,AKJCL,69.89,215.00,215.00,192.00,197.00,197.00,0.00,0.00,197.49,"73,046.00",205.00,"14,425,701.00",494,-8.00,23.00,-3.90,11.98,-0.25,215.00,46.40
7,AKPL,70.69,380.00,380.00,362.00,364.00,364.00,0.00,0.00,367.13,"495,370.00",362.00,"181,866,442.00","1,509",2.00,18.00,0.55,4.97,-0.86,380.00,100.00
8,ALBSL,61.22,"1,899.00","1,899.00","1,841.00","1,860.00","1,860.00",0.00,0.00,"1,858.12","10,800.00","1,836.00","20,067,723.00",148,24.00,58.00,1.31,3.15,0.10,"1,978.00",536.00
9,ALICL,70.59,"1,314.00","1,323.00","1,295.00","1,322.00","1,322.00",0.00,0.00,"1,314.47","64,582.00","1,290.00","84,891,021.00",401,32.00,28.00,2.48,2.16,0.57,"1,460.00",431.00
10,API,49.26,315.00,315.00,307.00,309.00,309.00,0.00,0.00,308.91,"240,542.00",313.00,"74,304,974.00",930,-4.00,8.00,-1.28,2.61,0.03,383.00,103.00
