S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,135.00,135.00,129.00,130.00,130.00,0.00,0.00,0.00,"4,120.00",135.00,0.00,0,0.00,6.00,0.00,4.65,100.00,0.00,0.00
2,AHPC,-,476.00,475.00,465.00,467.00,467.00,0.00,0.00,0.00,"1,818.00",476.00,0.00,0,0.00,10.00,0.00,2.15,100.00,0.00,0.00
3,ALICL,-,243.00,251.00,241.00,245.00,245.00,0.00,0.00,0.00,"1,800.00",243.00,0.00,0,0.00,10.00,0.00,4.15,100.00,0.00,0.00
4,CZBIL,-,300.00,306.00,302.00,302.00,302.00,0.00,0.00,0.00,110.00,300.00,0.00,0,0.00,4.00,0.00,1.32,100.00,0.00,0.00
