Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,627.12","2,647.48","2,614.12","2,647.22",22.85,0.87,"6,745,631,607.18"
Sensitive Index,467.31,471.07,464.71,471.07,5.32,1.14,"2,711,402,613.30"
Float Index,180.99,182.48,180.05,182.46,1.87,1.03,"6,650,816,487.20"
Sensitive Float Index,158.07,159.32,157.07,159.32,1.90,1.20,"2,711,402,613.30"
Banking SubIndex,"1,498.33","1,511.16","1,481.83","1,511.16",23.68,1.59,"1,746,090,020.40"
Development Bank Index,"5,452.49","5,510.22","5,432.67","5,495.64",22.09,0.40,"254,216,082.10"
Finance Index,"2,265.10","2,277.41","2,247.36","2,267.53",-0.56,-0.02,"122,548,783.50"
Hotels And Tourism,"7,240.79","7,240.79","7,126.06","7,210.19",24.41,0.33,"112,300,931.20"
HydroPower Index,"3,625.43","3,665.08","3,621.78","3,665.08",31.09,0.85,"2,947,700,922.60"
Investment,97.27,97.97,96.30,97.54,0.09,0.10,"370,913,662.40"
Life Insurance,"11,782.07","11,992.65","11,712.83","11,948.61",179.97,1.52,"230,696,779.00"
Manufacturing And Processing,"10,607.40","10,741.40","10,604.07","10,712.66",62.65,0.58,"558,436,747.30"
Microfinance Index,"4,521.69","4,568.91","4,516.54","4,568.91",34.01,0.75,"194,839,061.80"
Mutual Fund,19.62,19.68,19.45,19.67,0.03,0.19,"32,814,682.18"
Non Life Insurance,"9,751.05","9,798.18","9,683.26","9,798.18",47.13,0.48,"46,967,886.30"
Others Index,"1,837.72","1,851.20","1,825.83","1,835.65",-2.07,-0.11,"55,649,145.20"
Trading Index,"3,296.00","3,335.21","3,257.42","3,310.87",28.12,0.85,"10,456,465.40"
