rank,symbol,company_name,volume,ltp
1,HLICF,HLI Large Cap Fund,3001967.00,8.40
2,KBL,Kumari Bank Limited,1426442.00,227.00
3,LSL,Laxmi Sunrise Bank Limited,1107292.00,246.40
4,GBIME,Global IME Bank Limited,894556.00,260.90
5,LEC,Liberty Energy Company Limited,879413.00,259.90
6,SBL,Siddhartha Bank Limited,484794.00,447.90
7,NBL,Nepal Bank Limited,469074.00,296.50
8,TAMOR,Sanima Middle Tamor Hydropower Limited,386379.00,547.90
9,AKJCL,Ankhukhola Hydropower Company Limited,368692.00,359.00
10,RIDI,Ridi Power Company Limited,322671.00,347.00
11,MBL,Machhapuchchhre Bank Limited,319484.00,260.80
12,PHCL,Peoples Hydropower Company Limited,309485.00,322.50
13,HDHPC,Himal Dolakha Hydropower Company Limited,292304.00,220.50
14,NHPC,National Hydro Power Company Limited,272771.00,272.90
15,PCBL,Prime Commercial Bank Limited,272648.00,259.00
