rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,547543418.12,418771022.70,966314440.82,128772395.42000002,70491805.20
2,49,Online Securities Limited,306375894.00,215673946.70,522049840.70,90701947.30000001,27178588.00
3,42,Sani Securities Company Limited,219519301.80,267651842.20,487171144.00,-48132540.399999976,20236694.60
4,45,Imperial Securities Co. Limited,185251591.20,274855515.40,460107106.60,-89603924.19999999,10298419.80
5,33,Dakshinkali Investment Securities Pvt.Limited,214537800.50,202350834.05,416888634.55,12186966.449999988,40117147.80
6,34,Vision Securities Pvt.Limited,207653858.50,200454410.20,408108268.70,7199448.300000012,27408235.20
7,48,Trishakti Securities Public Limited,220370807.10,183195164.40,403565971.50,37175642.69999999,10587672.80
8,44,Dynamic Money Managers Securities Pvt.Ltd,195411371.60,203804191.20,399215562.80,-8392819.599999994,31366037.00
9,77,Nabil Stock Dealer Limited,184329298.70,188734869.50,373064168.20,-4405570.800000012,1563276.00
10,17,ABC Securities Pvt. Limited,180869417.32,163527010.10,344396427.42,17342407.22,2749187.00
11,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,174632786.00,167325978.70,341958764.70,7306807.300000012,5755515.00
12,14,Nepal Stock House Pvt. Limited,142714054.00,193856003.80,336570057.80,-51141949.80000001,5819164.20
13,57,Arya Tara Investment And Securities Pvt. Ltd.,115480962.35,170745234.80,286226197.15,-55264272.45000002,6304198.60
14,65,Sharepro Securities Private Limited,192346390.60,81722931.20,274069321.80,110623459.39999999,6941950.80
15,32,Premier Securites Company Limited,103756835.40,126144508.90,229901344.30,-22387673.5,871291.60
