label,value
Total Turnovers (Rs.),"6,745,631,607.18"
Total Traded Shares,"21,272,761"
Total Transaction,"64,072"
Total Scrips Traded,345
Total Market Cap (Rs.),"4,553,559.44 Millions"
Floated Market Cap (Rs.),"1,543,250.88 Millions"
