rank,symbol,company_name,close,change,change_percent
1,SNORL,Snow Rivers Limited,1057.00,127.00,13.66
2,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,1065.00,95.10,9.81
3,IGIPO,IME General Insurance Limited Promoter Share,241.00,20.00,9.05
4,MKJC,Mailung Khola Jal Vidhyut Company Limited,320.00,26.00,8.84
5,YMHL,Yambaling Hydropower Limited,589.40,34.40,6.20
6,HEIP,Himalayan Everest Insurance Limited Promoter,321.00,17.00,5.59
7,BNT,Bottlers Nepal (Terai) Limited,12450.00,600.00,5.06
8,AHL,Asian Hydropower Limited,395.00,16.90,4.47
9,RMF2,RBB Mutual Fund 2,10.17,0.42,4.31
10,IHL,Ingwa Hydropower Ltd,338.10,13.80,4.26
11,KBL,Kumari Bank Limited,227.00,9.00,4.13
12,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,524.00,19.40,3.84
13,ALICL,Asian Life Insurance Company Limited,432.90,15.90,3.81
14,BPCL,Butwal Power Company Limited,698.00,25.30,3.76
15,GLH,Greenlife Hydropower Limited,273.50,9.50,3.60
