rank,symbol,company_name,transactions,ltp
1,KBL,Kumari Bank Limited,2404,227.00
2,LEC,Liberty Energy Company Limited,1529,259.90
3,SGHL,Sanigad Hydro Limited,1378,500.00
4,SOHL,Solu Hydropower Limited,1330,665.00
5,LSL,Laxmi Sunrise Bank Limited,1326,246.40
6,GBIME,Global IME Bank Limited,1204,260.90
7,PHCL,Peoples Hydropower Company Limited,1199,322.50
8,SBL,Siddhartha Bank Limited,1112,447.90
9,YMHL,Yambaling Hydropower Limited,1018,589.40
10,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1007,524.00
11,HATHY,Hathway Investment Nepal Limited,975,499.80
12,KAHL,Kalanga Hydro Limited,941,503.00
13,TAMOR,Sanima Middle Tamor Hydropower Limited,938,547.90
14,NBL,Nepal Bank Limited,878,296.50
15,SHIVM,Shivam Cements Limited,743,688.00
