rank,symbol,company_name,turnover,ltp
1,KBL,Kumari Bank Limited,321381025.10,227.00
2,LSL,Laxmi Sunrise Bank Limited,271629217.40,246.40
3,GBIME,Global IME Bank Limited,232049614.30,260.90
4,LEC,Liberty Energy Company Limited,227960780.60,259.90
5,SBL,Siddhartha Bank Limited,217845486.10,447.90
6,TAMOR,Sanima Middle Tamor Hydropower Limited,210665464.20,547.90
7,SHIVM,Shivam Cements Limited,178600802.60,688.00
8,BPCL,Butwal Power Company Limited,149734659.70,698.00
9,SOHL,Solu Hydropower Limited,144905437.20,665.00
10,RSML,Reliance Spinning Mills Limited,141538270.50,2757.00
11,NBL,Nepal Bank Limited,137760707.90,296.50
12,HATHY,Hathway Investment Nepal Limited,132368262.10,499.80
13,AKJCL,Ankhukhola Hydropower Company Limited,131547802.90,359.00
14,RIDI,Ridi Power Company Limited,112179085.50,347.00
15,PHCL,Peoples Hydropower Company Limited,101008861.10,322.50
