rank,symbol,company_name,transactions,ltp
1,SAPIL,Sarvottam Paints Industries Limited,2219,1230.00
2,SOHL,Solu Hydropower Limited,1111,663.00
3,SGHL,Sanigad Hydro Limited,1082,483.10
4,MEPDL,Mount Everest Power Development Limited,958,620.00
5,GBIME,Global IME Bank Limited,954,249.90
6,TAMOR,Sanima Middle Tamor Hydropower Limited,856,504.00
7,RHPL,Rasuwagadhi Hydropower Company Limited,787,178.80
8,SHIVM,Shivam Cements Limited,681,658.00
9,SMHL,Super Madi Hydropower Limited,677,538.00
10,PCIL,Palpa Cements Industries Limited,675,628.00
11,KAHL,Kalanga Hydro Limited,649,484.00
12,CHCL,Chilime Hydro power Company Limited,635,377.00
13,NRN,NRN Infrastructure and Development Limited,593,1410.00
14,SOPL,Sopan Pharmaceuticals Limited,591,734.00
15,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,524,505.00
