label,value
Total Turnovers (Rs.),"2,942,781,826.16"
Total Traded Shares,"7,268,202"
Total Transaction,"39,673"
Total Scrips Traded,354
Total Market Cap (Rs.),"4,365,886.94 Millions"
Floated Market Cap (Rs.),"1,472,993.25 Millions"
