rank,symbol,company_name,turnover,ltp
1,TAMOR,Sanima Middle Tamor Hydropower Limited,141785954.90,504.00
2,NRN,NRN Infrastructure and Development Limited,126463024.00,1410.00
3,SOHL,Solu Hydropower Limited,121467625.00,663.00
4,SHIVM,Shivam Cements Limited,108967119.80,658.00
5,SAHAS,Sahas Urja Limited,99580663.70,688.30
6,RIDI,Ridi Power Company Limited,96037804.50,352.00
7,CFCL,Central Finance Limited,91484132.70,635.00
8,GBIME,Global IME Bank Limited,90753004.70,249.90
9,SMHL,Super Madi Hydropower Limited,86098822.50,538.00
10,RSML,Reliance Spinning Mills Limited,74865385.80,2695.00
11,RHPL,Rasuwagadhi Hydropower Company Limited,68242100.50,178.80
12,AKJCL,Ankhukhola Hydropower Company Limited,60414425.10,344.30
13,CHCL,Chilime Hydro power Company Limited,58555074.30,377.00
14,RADHI,Radhi Bidyut Company Limited,53793706.00,675.00
15,KSBBL,Kamana Sewa Bikas Bank Limited,44862747.30,480.00
