rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,243575087.88,171532146.90,415107234.78,72042940.97999999,24050488.20
2,48,Trishakti Securities Public Limited,168576379.10,132665093.00,301241472.10,35911286.099999994,138868620.00
3,44,Dynamic Money Managers Securities Pvt.Ltd,116580150.80,77085228.60,193665379.40,39494922.2,7648961.20
4,34,Vision Securities Pvt.Limited,99355515.30,86145634.10,185501149.40,13209881.200000003,6471684.80
5,49,Online Securities Limited,104228531.50,80698733.70,184927265.20,23529797.799999997,4821008.40
6,42,Sani Securities Company Limited,80762687.50,99482939.70,180245627.20,-18720252.200000003,4739998.00
7,45,Imperial Securities Co. Limited,66104694.20,108769322.00,174874016.20,-42664627.8,6282420.00
8,50,Crystal Kanchenjunga Securities Pvt.Ltd,62137211.80,85557134.70,147694346.50,-23419922.900000006,569252.80
9,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,63208927.10,74545615.90,137754543.00,-11336688.800000004,11744803.00
10,57,Arya Tara Investment And Securities Pvt. Ltd.,63083614.90,72677822.18,135761437.08,-9594207.280000009,2941158.00
11,35,Kohinoor Investment and Securities Pvt.Ltd,50963515.90,80050384.40,131013900.30,-29086868.500000007,2715367.20
12,32,Premier Securites Company Limited,61484920.50,68798091.00,130283011.50,-7313170.5,1862653.80
13,4,Stock Broker Opal Securities Investment Pvt. Limited,63502080.70,61434575.60,124936656.30,2067505.1000000015,1442171.20
14,28,Shree Krishna Securities Limited,41017965.40,74555960.70,115573926.10,-33537995.300000004,109245.00
15,41,Linch Stock Market Limited,52522502.10,62939326.30,115461828.40,-10416824.199999996,5905866.00
