rank,symbol,company_name,volume,ltp
1,RHPL,Rasuwagadhi Hydropower Company Limited,398731.00,178.80
2,GBIME,Global IME Bank Limited,367046.00,249.90
3,TAMOR,Sanima Middle Tamor Hydropower Limited,282709.00,504.00
4,RIDI,Ridi Power Company Limited,275315.00,352.00
5,SFEF,Sunrise Focused Equity Fund,273082.00,9.85
6,SOHL,Solu Hydropower Limited,184091.00,663.00
7,AKJCL,Ankhukhola Hydropower Company Limited,174884.00,344.30
8,SHIVM,Shivam Cements Limited,165180.00,658.00
9,SMHL,Super Madi Hydropower Limited,161690.00,538.00
10,CFCL,Central Finance Limited,157841.00,635.00
11,CHCL,Chilime Hydro power Company Limited,157769.00,377.00
12,SAHAS,Sahas Urja Limited,144771.00,688.30
13,KBL,Kumari Bank Limited,120607.00,212.80
14,MBL,Machhapuchchhre Bank Limited,116645.00,244.80
15,KSBBL,Kamana Sewa Bikas Bank Limited,93966.00,480.00
