rank,symbol,company_name,close,change,change_percent
1,NMBUR93/94,4% NMB Urja Rinpatra (Energy Bond II) 2093/94,941.00,-58.00,-5.81
2,EBLD85,10.5% Everest Bank Ltd Rinpatra 2085,1090.00,-57.00,-4.97
3,RMF2,RBB Mutual Fund 2,9.28,-0.42,-4.33
4,KBSH,Kutheli Bukhari Small Hydropower Limited,791.00,-30.00,-3.65
5,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,994.30,-33.70,-3.28
6,NBLD82,10% Nabil Bank Debenture 2082,1018.50,-32.60,-3.10
7,EBLEB89,"Everest Bank Limited Energy Bond, 2089",1067.00,-33.00,-3.00
8,NMBD2085,10% NMB Debenture 2085,1102.10,-33.90,-2.98
9,HLICF,HLI Large Cap Fund,8.30,-0.25,-2.92
10,KSY,Kumari Sabal Yojana,8.84,-0.26,-2.86
11,AHL,Asian Hydropower Limited,363.80,-10.00,-2.68
12,RMF1,RBB Mutual Fund 1,9.02,-0.24,-2.59
13,JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,925.00,-22.90,-2.42
14,NABILD2089,7% Nabil Debenture 2089,1070.00,-25.00,-2.28
15,UAIL,United Ajod Insurance Limited,366.50,-8.50,-2.27
