rank,symbol,company_name,close,change,change_percent
1,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,2790.00,296.00,11.87
2,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,381.40,35.40,10.23
3,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,5350.00,491.00,10.10
4,CFCL,Central Finance Limited,635.00,53.00,9.11
5,RHPL,Rasuwagadhi Hydropower Company Limited,178.80,10.10,5.99
6,MKHC,Maya Khola Hydropower Company Limited,250.00,14.00,5.93
7,MKJC,Mailung Khola Jal Vidhyut Company Limited,297.40,12.50,4.39
8,NIBLGF,NIBL Growth Fund,8.60,0.35,4.24
9,GBIME,Global IME Bank Limited,249.90,9.90,4.13
10,SPL,Shuvam Power Limited,664.00,26.00,4.08
11,BGWT,Bhagawati Hydropower Development Company Limited,485.00,18.00,3.85
12,HBLD86,Himalayan Bank Limited Bond 2086,1155.00,42.60,3.83
13,NRN,NRN Infrastructure and Development Limited,1410.00,47.00,3.45
14,SIGS2,Siddhartha Investment Growth Scheme-2,9.74,0.32,3.40
15,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,266.30,8.40,3.26
