label,value
Total Turnovers (Rs.),"3,239,760,549.52"
Total Traded Shares,"8,572,970"
Total Transaction,"53,153"
Total Scrips Traded,350
Total Market Cap (Rs.),"4,471,628.02 Millions"
Floated Market Cap (Rs.),"1,508,721.94 Millions"
