rank,symbol,company_name,close,change,change_percent
1,SAPIL,Sarvottam Paints Industries Limited,917.20,119.60,14.99
2,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1150.00,123.00,11.98
3,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,1600.00,134.00,9.14
4,SPHL,Sayapatri Hydropower Limited,561.00,33.10,6.27
5,HATHY,Hathway Investment Nepal Limited,630.30,20.30,3.33
6,KKHC,Khani Khola Hydropower Company Limited,278.90,9.00,3.33
7,EBLD91,7.50% Everest Bank Limited Debenture  2091,1102.00,35.00,3.28
8,KBLD86,10.25% Kumari Bank Debenture 2086,1112.00,32.00,2.96
9,RBCLPO,Rastriya Beema Company Limited Promoter Share,11368.00,318.00,2.88
10,CSY,Citizens Santulit Yojana,9.01,0.25,2.85
11,NBF2,Nabil Balanced Fund - 2,10.09,0.24,2.44
12,NICFC,NIC Asia Flexi Cap Fund,9.20,0.21,2.34
13,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,1100.00,21.00,1.95
14,SHL,Soaltee Hotel Limited,509.90,9.70,1.94
15,SHINED,Shine Resunga Debenture,1116.00,21.00,1.92
