Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,618.54","2,620.13","2,593.31","2,599.58",-19.13,-0.73,"3,239,760,549.52"
Sensitive Index,461.57,461.97,457.64,458.18,-3.17,-0.68,"929,540,677.40"
Float Index,179.79,179.87,178.01,178.42,-1.34,-0.74,"3,203,545,856.40"
Sensitive Float Index,156.07,156.25,154.62,154.81,-1.11,-0.71,"929,540,677.40"
Banking SubIndex,"1,448.79","1,449.29","1,434.93","1,437.66",-9.81,-0.67,"300,890,534.80"
Development Bank Index,"5,479.22","5,506.57","5,442.10","5,455.56",-26.11,-0.47,"213,271,790.90"
Finance Index,"2,315.79","2,325.47","2,291.34","2,300.07",-18.61,-0.80,"110,131,680.00"
Hotels And Tourism,"7,213.59","7,266.08","7,143.43","7,214.05",-0.82,-0.01,"85,529,063.20"
HydroPower Index,"3,722.81","3,729.97","3,667.70","3,681.44",-44.50,-1.19,"1,686,934,114.10"
Investment,95.51,95.74,94.53,95.13,-0.40,-0.41,"121,833,943.60"
Life Insurance,"11,592.60","11,592.94","11,466.06","11,498.93",-94.48,-0.81,"68,755,431.10"
Manufacturing And Processing,"10,366.07","10,420.28","10,291.77","10,306.02",-48.54,-0.46,"327,278,822.70"
Microfinance Index,"4,479.65","4,489.02","4,442.83","4,465.59",-24.23,-0.53,"165,403,008.90"
Mutual Fund,20.68,20.68,20.43,20.54,-0.16,-0.80,"12,727,405.62"
Non Life Insurance,"10,419.14","10,419.14","10,296.35","10,302.38",-116.75,-1.12,"47,223,311.40"
Others Index,"1,903.76","1,906.47","1,885.05","1,888.87",-14.88,-0.78,"73,019,497.70"
Trading Index,"3,253.15","3,292.43","3,199.57","3,236.69",-16.45,-0.50,"3,274,658.00"
