rank,symbol,company_name,volume,ltp
1,RIDI,Ridi Power Company Limited,262744.00,357.00
2,RBBF40,RBB Focus 40,259800.00,9.00
3,RSY2,Reliable Samriddhi Yojana-2,254600.00,8.96
4,PSF,Prabhu Select Fund,243798.00,12.03
5,PRSF,Prabhu Smart Fund,205100.00,12.73
6,SOHL,Solu Hydropower Limited,175007.00,678.90
7,KKHC,Khani Khola Hydropower Company Limited,168038.00,278.90
8,LEC,Liberty Energy Company Limited,167696.00,213.90
9,AKJCL,Ankhukhola Hydropower Company Limited,156596.00,346.00
10,SAHAS,Sahas Urja Limited,154981.00,684.00
11,TAMOR,Sanima Middle Tamor Hydropower Limited,143846.00,478.00
12,BHL,Balephi Hydropower Limited,142617.00,205.00
13,API,Api Power Company Limited,137437.00,331.00
14,GHL,Ghalemdi Hydro Limited,135966.00,228.00
15,EDBL,Excel Development Bank Limited,129582.00,583.00
