rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,251952550.22,204094747.88,456047298.10,47857802.34,54174682.60
2,17,ABC Securities Pvt. Limited,64179372.10,277390565.00,341569937.10,-213211192.9,11796214.40
3,45,Imperial Securities Co. Limited,144496777.10,121565296.20,266062073.30,22931480.89999999,11391549.60
4,48,Trishakti Securities Public Limited,145380128.93,108597095.20,253977224.13,36783033.730000004,19428204.20
5,44,Dynamic Money Managers Securities Pvt.Ltd,118369889.10,117273224.60,235643113.70,1096664.5,53785070.80
6,42,Sani Securities Company Limited,133139221.18,101399964.70,234539185.88,31739256.480000004,9192361.40
7,49,Online Securities Limited,88813560.30,126197334.00,215010894.30,-37383773.7,5090072.60
8,34,Vision Securities Pvt.Limited,102217190.40,100104679.40,202321869.80,2112511.0,9894324.60
9,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,77807503.00,85823576.60,163631079.60,-8016073.599999994,5291578.80
10,14,Nepal Stock House Pvt. Limited,86322667.80,73712801.80,160035469.60,12609866.0,2674962.00
11,57,Arya Tara Investment And Securities Pvt. Ltd.,91856880.50,65972720.90,157829601.40,25884159.6,3133965.60
12,32,Premier Securites Company Limited,75138264.00,54117466.60,129255730.60,21020797.4,1614894.40
13,62,Capital Max Securities Limited,58294354.10,62254784.50,120549138.60,-3960430.3999999985,1984042.00
14,35,Kohinoor Investment and Securities Pvt.Ltd,59155397.90,56528980.10,115684378.00,2626417.799999997,1221693.20
15,39,Sumeru Securities Pvt.Limited,60031350.80,52497861.50,112529212.30,7533489.299999997,207106.00
