rank,symbol,company_name,transactions,ltp
1,MEPDL,Mount Everest Power Development Limited,7425,713.90
2,SGHL,Sanigad Hydro Limited,2019,511.00
3,SOHL,Solu Hydropower Limited,1363,678.90
4,KAHL,Kalanga Hydro Limited,1306,506.00
5,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,853,530.00
6,SAHAS,Sahas Urja Limited,799,684.00
7,SOPL,Sopan Pharmaceuticals Limited,726,754.10
8,ECL,Everest Colour Limited,668,1330.00
9,PCIL,Palpa Cements Industries Limited,653,607.90
10,YMHL,Yambaling Hydropower Limited,617,600.00
11,HRL,Himalayan Reinsurance Limited,581,561.00
12,HBL,Himalayan Bank Limited,554,189.80
13,RIDI,Ridi Power Company Limited,522,357.00
14,CORBL,Corporate Development Bank Limited,506,942.00
15,KKHC,Khani Khola Hydropower Company Limited,490,278.90
