rank,symbol,company_name,turnover,ltp
1,RSML,Reliance Spinning Mills Limited,127282070.90,2728.00
2,SOHL,Solu Hydropower Limited,118847526.50,678.90
3,SAHAS,Sahas Urja Limited,106521810.30,684.00
4,RIDI,Ridi Power Company Limited,94037412.60,357.00
5,EDBL,Excel Development Bank Limited,75679140.70,583.00
6,TAMOR,Sanima Middle Tamor Hydropower Limited,68647086.90,478.00
7,MEPDL,Mount Everest Power Development Limited,55903196.60,713.90
8,AKJCL,Ankhukhola Hydropower Company Limited,54541387.00,346.00
9,MEN,Mountain Energy Nepal Limited,53380039.20,619.10
10,SHPC,Sanima Mai Hydropower Limited,52554171.80,514.20
11,KKHC,Khani Khola Hydropower Company Limited,45743859.10,278.90
12,SGHL,Sanigad Hydro Limited,45631273.30,511.00
13,API,Api Power Company Limited,45477551.40,331.00
14,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,42853288.20,1600.00
15,NGPL,Ngadi Group Power Limited,42777650.40,403.20
