label,value
Total Turnovers (Rs.),"4,562,950,700.46"
Total Traded Shares,"9,469,099"
Total Transaction,"39,595"
Total Scrips Traded,371
Total Market Cap (Rs.),"4,463,550.75 Millions"
Floated Market Cap (Rs.),"1,508,618.03 Millions"
