Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,605.32","2,606.89","2,581.09","2,597.80",7.50,0.28,"2,870,096,911.41"
Sensitive Index,455.88,457.07,453.25,456.86,2.92,0.64,"1,350,984,588.60"
Float Index,179.11,179.25,177.24,178.57,0.61,0.34,"3,491,525,532.80"
Sensitive Float Index,154.35,154.51,153.09,154.43,0.93,0.60,"1,350,984,588.60"
Banking SubIndex,"1,417.36","1,429.65","1,416.51","1,426.16",8.81,0.62,"329,091,145.90"
Development Bank Index,"5,622.25","5,622.25","5,501.62","5,572.23",4.49,0.08,"259,806,756.10"
Finance Index,"2,375.71","2,424.58","2,359.43","2,365.50",-15.80,-0.66,"88,310,921.00"
Hotels And Tourism,"7,157.69","7,157.69","7,033.60","7,073.09",-6.66,-0.09,"73,678,430.40"
HydroPower Index,"3,554.51","3,562.38","3,511.83","3,537.30",-12.06,-0.34,"1,670,552,613.60"
Investment,95.74,95.98,94.79,95.14,0.12,0.12,"302,459,749.40"
Life Insurance,"12,161.37","12,181.34","11,841.81","11,938.24",30.60,0.25,"128,046,542.20"
Manufacturing And Processing,"10,133.43","10,231.79","10,105.63","10,145.50",-11.28,-0.11,"343,612,384.40"
Microfinance Index,"4,563.97","4,617.97","4,532.25","4,612.21",56.16,1.23,"172,557,049.20"
Mutual Fund,21.59,21.79,21.33,21.79,0.35,1.66,"8,072,981.76"
Non Life Insurance,"10,821.69","10,821.69","10,597.04","10,814.22",119.73,1.11,"49,093,472.30"
Others Index,"1,938.47","1,938.47","1,886.29","1,898.24",5.88,0.31,"73,779,622.30"
Trading Index,"3,290.84","3,351.56","3,254.41","3,301.50",10.65,0.32,"536,846.00"
